source,target,relationship,sentiment,url,article_source,date
European farmers,EU,opposes,HOSTILE,https://www.france24.com/en/europe/20241228-retrospective-the-top-10-french-news-stories-that-defined-2024,french,2024-12-28
Barnier,Emmanuel Macron,supports,NEUTRAL,https://www.france24.com/en/live-news/20241205-macron-seeks-remedy-to-france-s-political-crisis,french,2024-12-05
Donald Trump,White House,leads,NEUTRAL,https://www.france24.com/en/europe/20241230-retrospective-the-top-10-news-stories-that-defined-2024,french,2024-12-30
Emmanuel Macron,National Assembly,leads,NEUTRAL,https://www.france24.com/en/europe/20240611-france-dissolution-parliament-snap-elections-how-it-works-what-next-macron,french,2024-06-11
France,Algeria,opposes,HOSTILE,https://www.france24.com/en/live-news/20250512-france-vows-immediate-response-as-algeria-plans-more-expulsions,french,2025-05-12
George Simeon,Nicusor Dan,opposes,NEUTRAL,https://www.france24.com/en/europe/20250518-live-election-evening-portugal-poland-romania-results-reactions-analysis,french,2025-05-18
Emmanuel Macron,Michel Barnier,leads,NEUTRAL,https://www.france24.com/en/live-news/20240921-france-s-macron-appoints-new-government-in-shift-to-right,french,2024-09-21
Emmanuel Macron,Leo XIV,speaks with,NEUTRAL,https://www.france24.com/en/france/20250515-macron-pope-leo-xiv-call-for-lasting-peace-in-ukraine-and-gaza-in-first-phone-call,french,2025-05-15
Emmanuel Macron,prime minister,leads,NEUTRAL,https://www.france24.com/en/france/20241212-live-france-president-emmanuel-macron-names-new-prime-minister-budget-crisis,french,2024-12-12
Paris,Tehran,accuses,HOSTILE,https://www.france24.com/en/live-news/20250516-france-sues-iran-at-top-un-court-over-detained-citizens,french,2025-05-16
France's government,Michel Barnier,leads,NEUTRAL,https://www.france24.com/en/live-news/20241204-french-government-risks-falling-in-no-confidence-vote,french,2024-12-04
protestors,racism,opposes,HOSTILE,https://www.france24.com/en/europe/20250322-tens-of-thousands-in-france-join-protests-against-racism-and-far-right,french,2025-03-22
protestors,racism,opposes,HOSTILE,https://www.france24.com/en/europe/20250322-tens-of-thousands-in-france-join-protests-against-racism-and-far-right,german,2025-03-22
protestors,far right,opposes,HOSTILE,https://www.france24.com/en/europe/20250322-tens-of-thousands-in-france-join-protests-against-racism-and-far-right,french,2025-03-22
protestors,far right,opposes,HOSTILE,https://www.france24.com/en/europe/20250322-tens-of-thousands-in-france-join-protests-against-racism-and-far-right,german,2025-03-22
Emmanuel Macron,snap elections,leads,NEUTRAL,https://www.france24.com/en/france/20241231-macron-acknowledges-his-decision-to-call-snap-french-elections-caused-more-instability,french,2024-12-31
Emmanuel Macron,France,leads,NEUTRAL,https://www.france24.com/en/france/20250210-live-macron-speaks-on-the-future-of-ai-at-global-summit-in-paris,french,2025-02-10
France,Russia,accuses,HOSTILE,https://www.france24.com/en/video/20250429-france-accuses-russian-military-intelligence-of-cyberattacks,french,2025-04-29
Emmanuel Macron,Europe,supports,NEUTRAL,https://www.france24.com/en/europe/20250306-macron-will-discuss-extending-french-nuclear-protection-to-europe-with-allies-ukraine-russia-usa,french,2025-03-06
French voters,leftist coalition,supports,NEUTRAL,https://www.france24.com/en/france/20240704-2024-french-legislative-elections-results-of-the-second-round,french,2024-07-04
leftist coalition,far right,opposes,NEUTRAL,https://www.france24.com/en/france/20240704-2024-french-legislative-elections-results-of-the-second-round,french,2024-07-04
Max Verstappen,Red Bull,drives,NEUTRAL,https://www.france24.com/en/live-news/20250518-brilliant-verstappen-wins-emilia-romagna-grand-prix,french,2025-05-18
Emmanuel Macron,Ukraine,supports,FRIENDLY,https://www.france24.com/en/live-news/20250311-military-chiefs-in-paris-to-discuss-ukraine-security-guarantees,french,2025-03-11
Algeria,Boualem Sansal,accuses,HOSTILE,https://www.france24.com/en/live-news/20250327-algerian-court-sentences-writer-sansal-to-five-years-in-jail,french,2025-03-27
Emmanuel Macron,Europe,supports,NEUTRAL,https://www.france24.com/en/europe/20250305-watch-full-speech-macron-calls-for-major-european-rearmament,french,2025-03-05
Pakistan,China,partners with,NEUTRAL,https://www.france24.com/en/live-news/20250518-pakistan-fm-to-visit-china-on-heels-of-conflict-with-india-over-kashmir,french,2025-05-18
Islamabad,India,partners with,NEUTRAL,https://www.france24.com/en/live-news/20250518-pakistan-fm-to-visit-china-on-heels-of-conflict-with-india-over-kashmir,french,2025-05-18
Volodymyr Zelensky,Kryvyi Rih,represents,NEUTRAL,https://www.france24.com/en/live-news/20250404-russian-missile-strike-kills-14-in-ukraine-leader-s-home-city,french,2025-04-04
PSV Eindhoven,Ajax,opposes,NEUTRAL,https://www.france24.com/en/live-news/20250518-ajax-woe-as-psv-eindhoven-crowned-dutch-champions,french,2025-05-18
Italian parliamentarians,Egypt,opposes,HOSTILE,https://www.france24.com/en/live-news/20250518-italian-mps-protest-at-egypt-s-gaza-border-against-war,french,2025-05-18
Italian parliamentarians,war,opposes,HOSTILE,https://www.france24.com/en/live-news/20250518-italian-mps-protest-at-egypt-s-gaza-border-against-war,french,2025-05-18
Niger's junta,people,supports,FRIENDLY,https://www.france24.com/en/live-news/20250401-niger-junta-frees-ministers-of-overthrown-government,french,2025-04-01
Niger's junta,people,supports,FRIENDLY,https://www.france24.com/en/live-news/20250401-niger-junta-frees-ministers-of-overthrown-government,german,2025-04-01
Wout van Aert,Giro d'Italia,supports,NEUTRAL,https://www.france24.com/en/live-news/20250518-van-aert-wins-at-last-as-del-toro-charges-to-giro-lead,french,2025-05-18
Isaac del Toro,Giro d'Italia,supports,NEUTRAL,https://www.france24.com/en/live-news/20250518-van-aert-wins-at-last-as-del-toro-charges-to-giro-lead,french,2025-05-18
Qatar,Hamas,supports,NEUTRAL,https://www.france24.com/en/live-news/20250402-what-is-the-qatargate-scandal-roiling-israel,french,2025-04-02
United States,China,criticizes,HOSTILE,https://www.france24.com/en/live-news/20250405-cambodia-hails-opening-of-naval-base-renovated-by-china,french,2025-04-05
United States,China,criticizes,HOSTILE,https://www.france24.com/en/live-news/20250405-cambodia-hails-opening-of-naval-base-renovated-by-china,german,2025-04-05
Donald Trump,United States,criticizes,HOSTILE,https://www.france24.com/en/live-news/20250309-french-research-groups-urged-to-welcome-scientists-fleeing-us,french,2025-03-09
Algeria,French Embassy,opposes,HOSTILE,https://www.france24.com/en/video/20250414-france-says-ready-to-take-immediate-tit-for-tat-measures-if-algeria-expels-diplomats,french,2025-04-14
Algeria,French Embassy,opposes,HOSTILE,https://www.france24.com/en/video/20250414-france-says-ready-to-take-immediate-tit-for-tat-measures-if-algeria-expels-diplomats,german,2025-04-14
Mark Rutte,US president,criticizes,HOSTILE,https://www.france24.com/en/live-news/20250313-nato-s-trump-whisperer-heads-to-white-house-for-tough-talks,french,2025-03-13
Francesco Bagnaia,Marc Marquez,opposes,NEUTRAL,https://www.france24.com/en/live-news/20250330-bagnaia-wins-usa-motogp-after-marc-marquez-crash,french,2025-03-30
Israel,Gaza's civil defence agency,accuses,HOSTILE,https://www.france24.com/en/live-news/20250518-gaza-rescuers-say-children-among-33-killed-in-israeli-strikes,french,2025-05-18
Jensen Huang,DeepSeek,opposes,NEUTRAL,https://www.france24.com/en/live-news/20250318-nvidia-showcases-ai-chips-as-it-shrugs-off-deepseek,french,2025-03-18
Donald Trump,Volodymyr Zelensky,criticizes,HOSTILE,https://www.france24.com/en/live-news/20250303-zelensky-and-european-allies-cement-cooperation-after-trump-row,french,2025-03-03
Volodymyr Zelensky,Russia,opposes,NEUTRAL,https://www.france24.com/en/live-news/20250303-zelensky-and-european-allies-cement-cooperation-after-trump-row,french,2025-03-03
Volodymyr Zelensky,Russia,opposes,HOSTILE,https://www.france24.com/en/live-news/20250101-zelensky-vows-ukraine-will-do-everything-in-2025-to-stop-russia,french,2025-01-01
JD Vance,European countries,urges,NEUTRAL,https://www.france24.com/en/live-news/20250415-vance-urges-europe-not-to-be-us-vassal,french,2025-04-15
JD Vance,European countries,urges,NEUTRAL,https://www.france24.com/en/live-news/20250415-vance-urges-europe-not-to-be-us-vassal,german,2025-04-15
France,Algeria,partners with,NEUTRAL,https://www.france24.com/en/video/20250406-france-and-algeria-resume-diplomatic-talks-amid-tensions-over-western-sahara,french,2025-04-06
United States,Ukraine,partners with,NEUTRAL,https://www.france24.com/en/europe/20250417-ukraine-us-natural-resources-minerals,french,2025-04-17
United States,Panama Canal,supports,NEUTRAL,https://www.france24.com/en/live-news/20250411-panama-deal-allows-us-to-deploy-troops-to-canal,french,2025-04-11
United States,Panama,partners with,NEUTRAL,https://www.france24.com/en/live-news/20250411-panama-deal-allows-us-to-deploy-troops-to-canal,french,2025-04-11
Mark Rutte,Donald Trump,criticizes,HOSTILE,https://www.france24.com/en/live-news/20250415-nato-s-rutte-says-us-led-ukraine-peace-talks-not-easy,french,2025-04-15
Mark Rutte,Russia,criticizes,HOSTILE,https://www.france24.com/en/live-news/20250415-nato-s-rutte-says-us-led-ukraine-peace-talks-not-easy,french,2025-04-15
European Union,United States,opposes,HOSTILE,https://www.france24.com/en/live-news/20250403-eu-to-target-us-online-services-after-trump-tariffs-france,french,2025-04-03
France's government,Donald Trump,criticizes,HOSTILE,https://www.france24.com/en/live-news/20250403-eu-to-target-us-online-services-after-trump-tariffs-france,french,2025-04-03
Francois Bayrou,France,represents,NEUTRAL,https://www.france24.com/en/live-news/20250128-french-pm-sparks-outrage-with-immigration-flooding-remark,french,2025-01-28
Argentina,IMF,partners with,NEUTRAL,https://www.france24.com/en/live-news/20250320-argentina-s-milei-wins-congress-green-light-for-new-imf-loan,french,2025-03-20
Javier Milei,IMF,supports,NEUTRAL,https://www.france24.com/en/live-news/20250320-argentina-s-milei-wins-congress-green-light-for-new-imf-loan,french,2025-03-20
Emmanuel Macron,Europe,supports,NEUTRAL,https://www.france24.com/en/video/20250305-europe-can-t-live-off-dividends-of-peace-says-macron-in-speech-calling-for-major-rearmament,french,2025-03-05
Donald Trump,Jean-Marie Le Pen,supports,FRIENDLY,https://www.france24.com/en/live-news/20250331-far-right-leaders-rally-around-france-s-le-pen-after-election-ban,french,2025-03-31
Elon Musk,Jean-Marie Le Pen,supports,FRIENDLY,https://www.france24.com/en/live-news/20250331-far-right-leaders-rally-around-france-s-le-pen-after-election-ban,french,2025-03-31
Vladimir Putin,Volodymyr Zelensky,criticizes,HOSTILE,https://www.france24.com/en/live-news/20250128-putin-says-talks-with-ukraine-possible-but-not-with-zelensky,french,2025-01-28
Vladimir Putin,Ukraine,supports,NEUTRAL,https://www.france24.com/en/live-news/20250128-putin-says-talks-with-ukraine-possible-but-not-with-zelensky,french,2025-01-28
Shigeru Ishiba,Donald Trump,criticizes,HOSTILE,https://www.france24.com/en/live-news/20250404-japan-pm-says-trump-tariffs-a-national-crisis,french,2025-04-04
Iran,nuclear talks,supports,NEUTRAL,https://www.france24.com/en/asia-pacific/20250411-iran-says-nuclear-talks-with-us-are-a-genuine-chance-for-diplomacy,french,2025-04-11
Washington,Iran,accuses,HOSTILE,https://www.france24.com/en/asia-pacific/20250411-iran-says-nuclear-talks-with-us-are-a-genuine-chance-for-diplomacy,french,2025-04-11
Rwanda,Belgium,opposes,HOSTILE,https://www.france24.com/en/live-news/20250317-%F0%9F%94%B4-rwanda-cuts-diplomatic-ties-with-belgium-expels-all-diplomats,french,2025-03-17
Israel,Hamas,supports,NEUTRAL,https://www.france24.com/en/live-news/20250414-macron-abbas-call-for-gaza-truce-as-hamas-insists-on-guarantees,french,2025-04-14
Hamas,Israel,accuses,HOSTILE,https://www.france24.com/en/live-news/20250414-macron-abbas-call-for-gaza-truce-as-hamas-insists-on-guarantees,french,2025-04-14
France,UK,partners with,NEUTRAL,https://www.france24.com/en/live-news/20250417-france-uk-mull-migrant-swaps-in-bid-to-stem-channel-crossings,french,2025-04-17
Donald Trump,Romania,supports,NEUTRAL,https://www.france24.com/en/live-news/20250518-trumpist-faces-pro-eu-mayor-in-tight-romania-presidential-rerun,french,2025-05-18
British government,border security,supports,NEUTRAL,https://www.france24.com/en/live-news/20250331-uk-imposes-travel-permit-on-europeans-from-wednesday,french,2025-03-31
Emmanuel Macron,Donald Trump,criticizes,HOSTILE,https://www.france24.com/en/live-news/20250403-macron-calls-for-suspension-of-investment-in-us-until-tariffs-clarified,french,2025-04-03
Donald Trump,Europe,opposes,HOSTILE,https://www.france24.com/en/live-news/20250403-macron-calls-for-suspension-of-investment-in-us-until-tariffs-clarified,french,2025-04-03
Brussels,Ukraine,supports,NEUTRAL,https://www.france24.com/en/video/20250319-eu-commission-unveils-white-paper-on-europe-s-defence,french,2025-03-19
Brussels,Europe,supports,NEUTRAL,https://www.france24.com/en/video/20250319-eu-commission-unveils-white-paper-on-europe-s-defence,french,2025-03-19
Jean-Noël Barrot,Wang Yi,met with,NEUTRAL,https://www.france24.com/en/asia-pacific/20250328-france-china-meet-trade-disputes-ukraine-peace-talks-russia-bilateral-foreign-minister,french,2025-03-28
Imamoglu,Recep Tayyip Erdogan,opposes,NEUTRAL,https://www.france24.com/en/live-news/20250319-turkey-police-detain-istanbul-mayor-erdogan-s-main-rival,french,2025-03-19
Emmanuel Macron,United States,criticizes,HOSTILE,https://www.france24.com/en/france/20250403-macron-calls-on-europe-to-suspend-investment-in-us-after-trump-tariff-shock,french,2025-04-03
United States,Somalia,partners with,NEUTRAL,https://www.france24.com/en/live-news/20250417-somalia-air-strikes-combat-kill-dozens-of-jihadists-govt,french,2025-04-17
Al-Shabaab,Somalia,opposes,HOSTILE,https://www.france24.com/en/live-news/20250417-somalia-air-strikes-combat-kill-dozens-of-jihadists-govt,french,2025-04-17
Donald Trump,United States,leads,NEUTRAL,https://www.france24.com/en/live-news/20250408-major-brain-drain-researchers-eye-exit-from-trump-s-america,french,2025-04-08
far right,Brigitte Macron,criticizes,HOSTILE,https://www.france24.com/en/live-news/20240619-france-tries-suspects-over-false-brigitte-macron-transgender-claim,french,2024-06-19
Donald Trump,Volodymyr Zelensky,accuses,HOSTILE,https://www.france24.com/en/live-news/20250220-trump-accuses-zelensky-of-treating-us-envoy-rudely,french,2025-02-20
Viktor Orban,Jean-Marie Le Pen,supports,NEUTRAL,https://www.france24.com/en/france/20250331-i-am-marine-europe-far-right-slams-le-pen-conviction-election-ban-orban-wilders,french,2025-03-31
Geert Wilders,Jean-Marie Le Pen,supports,NEUTRAL,https://www.france24.com/en/france/20250331-i-am-marine-europe-far-right-slams-le-pen-conviction-election-ban-orban-wilders,french,2025-03-31
EU,United States,criticizes,HOSTILE,https://www.france24.com/en/live-news/20250403-europe-riled-but-plans-cool-headed-response-to-trump-s-tariffs,french,2025-04-03
Kylian Mbappé,PSG,opposes,HOSTILE,https://www.france24.com/en/sport/20250410-mbapp%C3%A9-legal-team-says-psg-accounts-frozen-as-salary-dispute-escalates,french,2025-04-10
Kylian Mbappé,PSG,opposes,HOSTILE,https://www.france24.com/en/sport/20250410-mbapp%C3%A9-legal-team-says-psg-accounts-frozen-as-salary-dispute-escalates,german,2025-04-10
US Supreme Court,Trump administration,supports,NEUTRAL,https://www.france24.com/en/live-news/20250408-us-supreme-court-lifts-order-blocking-deportations-under-alien-enemies-act,french,2025-04-08
Romania’s electoral bureau,Calin Georgescu,opposes,HOSTILE,https://www.france24.com/en/live-news/20250309-%F0%9F%94%B4-romania-far-right-candidate-georgescu-barred-from-presidential-election,french,2025-03-09
Donald Trump,Heard and McDonald Islands,accuses,NEUTRAL,https://www.france24.com/en/live-news/20250402-us-tariffs-take-aim-everywhere-including-uninhabited-islands,french,2025-04-02
France,Algeria,opposes,HOSTILE,https://www.france24.com/en/video/20250416-france-to-expel-12-algerian-diplomats-recall-ambassador-amid-escalating-tensions,french,2025-04-16
Algeria,France,opposes,HOSTILE,https://www.france24.com/en/video/20250416-france-to-expel-12-algerian-diplomats-recall-ambassador-amid-escalating-tensions,french,2025-04-16
French antitrust authorities,Apple,criticizes,HOSTILE,https://www.france24.com/en/live-news/20250331-france-fines-apple-150-million-euros-over-privacy-feature,french,2025-03-31
Javier Milei,IMF,partners with,NEUTRAL,https://www.france24.com/en/live-news/20250414-argentine-peso-depreciates-after-exchange-controls-lifted,french,2025-04-14
Javier Milei,IMF,partners with,NEUTRAL,https://www.france24.com/en/live-news/20250414-argentine-peso-depreciates-after-exchange-controls-lifted,german,2025-04-14
Emmanuel Macron,France,represents,NEUTRAL,https://www.france24.com/en/europe/20250305-macron-to-give-televised-address-amid-uncertainty-and-large-challenges,french,2025-03-05
Volodymyr Zelensky,JD Vance,partners with,NEUTRAL,https://www.france24.com/en/europe/20250518-zelensky-sits-down-with-vance-in-rome-ahead-of-planned-trump-putin-call,french,2025-05-18
White House,Russia,opposes,HOSTILE,https://www.france24.com/en/europe/20250518-zelensky-sits-down-with-vance-in-rome-ahead-of-planned-trump-putin-call,french,2025-05-18
Donald Trump,global trade,opposes,HOSTILE,https://www.france24.com/en/live-news/20250416-global-trade-uncertainty-could-have-severe-negative-consequences-wto-chief,french,2025-04-16
Donald Trump,Jensen Huang,comments on,NEUTRAL,https://www.france24.com/en/tv-shows/tech-24/20250418-bruised-by-washington-s-chip-controls-nvidia-turns-to-china,french,2025-04-18
Emmanuel Macron,Russia,criticizes,HOSTILE,https://www.france24.com/en/live-news/20250326-macron-warns-of-russia-desire-for-war-ahead-of-ukraine-security-summit,french,2025-03-26
Zelensky,Witkoff,accuses,HOSTILE,https://www.france24.com/en/live-news/20250418-russia-rains-missiles-on-ukraine-as-us-mulls-ending-truce-efforts,french,2025-04-18
Zelensky,Witkoff,accuses,HOSTILE,https://www.france24.com/en/live-news/20250418-russia-rains-missiles-on-ukraine-as-us-mulls-ending-truce-efforts,german,2025-04-18
Bosnia,Milorad Dodik,accuses,HOSTILE,https://www.france24.com/en/live-news/20250327-bosnia-issues-international-arrest-warrant-for-serb-leader-dodik,french,2025-03-27
G7,Ukraine,supports,NEUTRAL,https://www.france24.com/en/live-news/20250312-ukraine-truce-dominates-g7-talks-clouded-by-trump-s-canada-threats,french,2025-03-12
United States,UN,urges,NEUTRAL,https://www.france24.com/en/live-news/20250221-trump-says-zelensky-and-putin-must-get-together,french,2025-02-21
United States,resolution on the Ukraine war,supports,FRIENDLY,https://www.france24.com/en/live-news/20250221-trump-says-zelensky-and-putin-must-get-together,french,2025-02-21
Russia,Ukraine,occupies,HOSTILE,https://www.france24.com/en/live-news/20250221-trump-says-zelensky-and-putin-must-get-together,french,2025-02-21
Javier Milei,general strike,opposes,HOSTILE,https://www.france24.com/en/live-news/20250409-argentina-braces-for-24-hour-strike-as-it-awaits-news-on-imf-loan,french,2025-04-09
Javier Milei,general strike,opposes,HOSTILE,https://www.france24.com/en/live-news/20250409-argentina-braces-for-24-hour-strike-as-it-awaits-news-on-imf-loan,german,2025-04-09
United States,El Salvador,supports,NEUTRAL,https://www.france24.com/en/live-news/20250417-el-salvador-becoming-black-hole-for-us-deportees-critics-fear,french,2025-04-17
US Treasury,US trading partners,presents,NEUTRAL,https://www.france24.com/en/live-news/20250318-bessent-says-nations-may-avoid-us-reciprocal-tariffs-by-halting-unfair-barriers,french,2025-03-18
Donald Trump,Zelensky,criticizes,HOSTILE,https://www.france24.com/en/live-news/20250228-trump-zelensky-row-in-oval-office-after-dispute-on-compromise-with-russia,french,2025-02-28
Vladimir Putin,Kiev,supports,NEUTRAL,https://www.france24.com/en/europe/20250423-why-putin-suddenly-accepted-speak-directly-ukraine-zelensky-trump-vance,french,2025-04-23
Mark Rutte,Nato,leads,NEUTRAL,https://www.france24.com/en/europe/20250326-four-us-soldiers-killed-during-training-exercise-in-lithuania-nato-leader-says,french,2025-03-26
Recep Tayyip Erdogan,economic policies,leads,NEUTRAL,https://www.france24.com/en/live-news/20250324-crackdown-on-opposition-tips-turkey-into-financial-turbulence,french,2025-03-24
Turkey,Europe,supports,NEUTRAL,https://www.france24.com/en/live-news/20250307-faced-with-russia-eu-s-defence-must-include-turkey,french,2025-03-07
Ekrem Imamoglu,Turkey,represents,NEUTRAL,https://www.france24.com/en/live-news/20250322-more-than-340-held-after-mass-protests-in-turkey,french,2025-03-22
Donald Trump,Ukraine,supports,NEUTRAL,https://www.france24.com/en/live-news/20250222-ukraine-s-earth-riches-are-rare-and-difficult-to-reach,french,2025-02-22
Marco Rubio,Emmanuel Macron,partners with,NEUTRAL,https://www.france24.com/en/live-news/20250416-rubio-headed-to-paris-for-ukraine-war-talks,french,2025-04-16
Marco Rubio,Emmanuel Macron,partners with,NEUTRAL,https://www.france24.com/en/live-news/20250416-rubio-headed-to-paris-for-ukraine-war-talks,german,2025-04-16
Washington,Europe,partners with,NEUTRAL,https://www.france24.com/en/live-news/20250416-rubio-headed-to-paris-for-ukraine-war-talks,french,2025-04-16
Washington,Europe,partners with,NEUTRAL,https://www.france24.com/en/live-news/20250416-rubio-headed-to-paris-for-ukraine-war-talks,german,2025-04-16
Donald Trump,Ukraine,criticizes,HOSTILE,https://www.france24.com/en/live-news/20250223-trump-shakes-transatlantic-alliance-with-russia-pivot,french,2025-02-23
Philippine,Duterte,accuses,HOSTILE,https://www.france24.com/en/live-news/20250320-philippine-officials-deny-coordinating-duterte-arrest-with-icc,french,2025-03-20
Philippine,International Criminal Court,supports,HOSTILE,https://www.france24.com/en/live-news/20250320-philippine-officials-deny-coordinating-duterte-arrest-with-icc,french,2025-03-20
European Union,Meta,criticizes,HOSTILE,https://www.france24.com/en/tv-shows/tech-24/20250404-us-trade-war-eu-prepares-to-retaliate-with-big-tech-in-its-sights,french,2025-04-04
European Union,Amazon,criticizes,HOSTILE,https://www.france24.com/en/tv-shows/tech-24/20250404-us-trade-war-eu-prepares-to-retaliate-with-big-tech-in-its-sights,french,2025-04-04
European Union,Apple,criticizes,HOSTILE,https://www.france24.com/en/tv-shows/tech-24/20250404-us-trade-war-eu-prepares-to-retaliate-with-big-tech-in-its-sights,french,2025-04-04
Vladimir Putin,Russia,leads,NEUTRAL,https://www.france24.com/en/europe/20241122-what-we-know-about-russia-s-hypersonic-oreshnik-missile-used-against-ukraine,french,2024-11-22
Russia,Ukraine,opposes,HOSTILE,https://www.france24.com/en/europe/20241122-what-we-know-about-russia-s-hypersonic-oreshnik-missile-used-against-ukraine,french,2024-11-22
Britain,Ukraine,supports,NEUTRAL,https://www.france24.com/en/live-news/20250304-vance-denies-having-criticized-french-british-armies,french,2025-03-04
France,Ukraine,supports,NEUTRAL,https://www.france24.com/en/live-news/20250304-vance-denies-having-criticized-french-british-armies,french,2025-03-04
Donald Trump,Paris climate change agreement,opposes,NEUTRAL,https://www.france24.com/en/live-news/20250128-un-confirms-us-demand-to-withdrawal-from-paris-climate-deal,french,2025-01-28
Muhammad Ilyas,United States,partners with,NEUTRAL,https://www.france24.com/en/live-news/20250311-us-bound-afghans-left-without-options-as-trump-travel-ban-looms,french,2025-03-11
Donald Trump,Afghans,opposes,HOSTILE,https://www.france24.com/en/live-news/20250311-us-bound-afghans-left-without-options-as-trump-travel-ban-looms,french,2025-03-11
