,url,date,entity,entity_type
34,https://www.nytimes.com/live/2024/09/09/us/harris-trump-election,2024-09-09,first debate,political_events
35,https://www.nytimes.com/live/2024/09/09/us/harris-trump-election,2024-09-09,primary debate,political_events
36,https://www.nytimes.com/live/2024/09/09/us/harris-trump-election,2024-09-09,third debate,political_events
37,https://www.nytimes.com/live/2024/09/09/us/harris-trump-election,2024-09-09,second debate,political_events
39,https://www.nytimes.com/live/2024/09/09/us/harris-trump-election,2024-09-09,debate,political_events
40,https://www.nytimes.com/live/2024/09/09/us/harris-trump-election,2024-09-09,upcoming debate,political_events
41,https://www.nytimes.com/live/2024/09/09/us/harris-trump-election,2024-09-09,Republican,political_parties
42,https://www.nytimes.com/live/2024/09/09/us/harris-trump-election,2024-09-09,America,locations
43,https://www.nytimes.com/live/2024/09/09/us/harris-trump-election,2024-09-09,Japan,locations
44,https://www.nytimes.com/live/2024/09/09/us/harris-trump-election,2024-09-09,Saudi Arabia,locations
45,https://www.nytimes.com/live/2024/09/09/us/harris-trump-election,2024-09-09,New England,locations
46,https://www.nytimes.com/live/2024/09/09/us/harris-trump-election,2024-09-09,St. Louis,locations
47,https://www.nytimes.com/2024/09/11/us/politics/trump-harris-debate-takeaways.html,2024-09-11,Kamala Harris,people
48,https://www.nytimes.com/2024/09/11/us/politics/trump-harris-debate-takeaways.html,2024-09-11,Mr. Trump,people
49,https://www.nytimes.com/2024/09/11/us/politics/trump-harris-debate-takeaways.html,2024-09-11,David Muir,people
50,https://www.nytimes.com/2024/09/11/us/politics/trump-harris-debate-takeaways.html,2024-09-11,NBC News,institutions
51,https://www.nytimes.com/2024/09/11/us/politics/trump-harris-debate-takeaways.html,2024-09-11,presidential debate,political_events
52,https://www.nytimes.com/2024/09/11/us/politics/trump-harris-debate-takeaways.html,2024-09-11,Republican,political_parties
53,https://www.nytimes.com/2024/09/11/us/politics/trump-harris-debate-takeaways.html,2024-09-11,Ohio,locations
54,https://www.nytimes.com/live/2024/09/12/us/harris-trump-election,2024-09-12,Rob Rue,people
55,https://www.nytimes.com/live/2024/09/12/us/harris-trump-election,2024-09-12,Donald Trump,people
56,https://www.nytimes.com/live/2024/09/12/us/harris-trump-election,2024-09-12,JD Vance,people
57,https://www.nytimes.com/live/2024/09/12/us/harris-trump-election,2024-09-12,Aiden Clark,people
58,https://www.nytimes.com/live/2024/09/12/us/harris-trump-election,2024-09-12,Nathan Clark,people
59,https://www.nytimes.com/live/2024/09/12/us/harris-trump-election,2024-09-12,Ted Cruz,people
60,https://www.nytimes.com/live/2024/09/12/us/harris-trump-election,2024-09-12,Elon Musk,people
61,https://www.nytimes.com/live/2024/09/12/us/harris-trump-election,2024-09-12,Mike DeWine,people
62,https://www.nytimes.com/live/2024/09/12/us/harris-trump-election,2024-09-12,Glenn Beck,people
63,https://www.nytimes.com/live/2024/09/12/us/harris-trump-election,2024-09-12,Vilés Dorsainvil,people
64,https://www.nytimes.com/live/2024/09/12/us/harris-trump-election,2024-09-12,Jean Frantz,people
65,https://www.nytimes.com/live/2024/09/12/us/harris-trump-election,2024-09-12,Luke Schroeder,people
66,https://www.nytimes.com/live/2024/09/12/us/harris-trump-election,2024-09-12,Ken Bensinger,people
67,https://www.nytimes.com/live/2024/09/12/us/harris-trump-election,2024-09-12,Christine Hauser,people
68,https://www.nytimes.com/live/2024/09/12/us/harris-trump-election,2024-09-12,The New York Times,institutions
69,https://www.nytimes.com/live/2024/09/12/us/harris-trump-election,2024-09-12,Springfield City Hall,institutions
70,https://www.nytimes.com/live/2024/09/12/us/harris-trump-election,2024-09-12,Blaze Media,institutions
71,https://www.nytimes.com/live/2024/09/12/us/harris-trump-election,2024-09-12,The Post Millennial,institutions
72,https://www.nytimes.com/live/2024/09/12/us/harris-trump-election,2024-09-12,National Justice Party,institutions
73,https://www.nytimes.com/live/2024/09/12/us/harris-trump-election,2024-09-12,Anti-Defamation League,institutions
74,https://www.nytimes.com/live/2024/09/12/us/harris-trump-election,2024-09-12,Haitian Community Help and Support Center,institutions
75,https://www.nytimes.com/live/2024/09/12/us/harris-trump-election,2024-09-12,Fox News,institutions
76,https://www.nytimes.com/live/2024/09/12/us/harris-trump-election,2024-09-12,The Racket,institutions
77,https://www.nytimes.com/live/2024/09/12/us/harris-trump-election,2024-09-12,Telegram,institutions
78,https://www.nytimes.com/live/2024/09/12/us/harris-trump-election,2024-09-12,presidential debate,political_events
79,https://www.nytimes.com/live/2024/09/12/us/harris-trump-election,2024-09-12,Springfield,locations
80,https://www.nytimes.com/live/2024/09/12/us/harris-trump-election,2024-09-12,Ohio,locations
81,https://www.nytimes.com/live/2024/09/12/us/harris-trump-election,2024-09-12,US,locations
82,https://www.nytimes.com/live/2024/09/12/us/harris-trump-election,2024-09-12,Haiti,locations
83,https://www.nytimes.com/live/2024/09/12/us/harris-trump-election,2024-09-12,Brazil,locations
84,https://www.nytimes.com/live/2024/09/12/us/harris-trump-election,2024-09-12,Chile,locations
85,https://www.nytimes.com/live/2024/09/12/us/harris-trump-election,2024-09-12,Columbus,locations
86,https://www.nytimes.com/live/2024/09/12/us/harris-trump-election,2024-09-12,Dayton,locations
87,https://www.nytimes.com/live/2024/09/12/us/harris-trump-election,2024-09-12,Texas,locations
88,https://www.nytimes.com/2024/09/06/us/politics/harris-trump-debate.html,2024-09-06,Donald Trump,people
89,https://www.nytimes.com/2024/09/06/us/politics/harris-trump-debate.html,2024-09-06,Kamala Harris,people
90,https://www.nytimes.com/2024/09/06/us/politics/harris-trump-debate.html,2024-09-06,Joe Biden,people
91,https://www.nytimes.com/2024/09/06/us/politics/harris-trump-debate.html,2024-09-06,debate,political_events
92,https://www.nytimes.com/2024/09/06/us/politics/harris-trump-debate.html,2024-09-06,American,locations
93,https://www.nytimes.com/2024/09/11/us/politics/trump-debate-dark-picture.html,2024-09-11,Donald Trump,people
94,https://www.nytimes.com/2024/09/11/us/politics/trump-debate-dark-picture.html,2024-09-11,Kamala Harris,people
95,https://www.nytimes.com/2024/09/11/us/politics/trump-debate-dark-picture.html,2024-09-11,Joe Biden,people
96,https://www.nytimes.com/2024/09/11/us/politics/trump-debate-dark-picture.html,2024-09-11,debate,political_events
97,https://www.nytimes.com/2024/09/11/us/politics/trump-debate-dark-picture.html,2024-09-11,Ohio,locations
98,https://www.nytimes.com/2024/09/11/us/politics/trump-debate-dark-picture.html,2024-09-11,Springfield,locations
99,https://www.nytimes.com/2024/09/11/us/politics/trump-debate-migrants.html,2024-09-11,Donald Trump,people
100,https://www.nytimes.com/2024/09/11/us/politics/trump-debate-migrants.html,2024-09-11,Kamala Harris,people
101,https://www.nytimes.com/2024/09/11/us/politics/trump-debate-migrants.html,2024-09-11,Tuesday night’s debate,political_events
102,https://www.nytimes.com/2024/09/11/us/politics/trump-debate-migrants.html,2024-09-11,2024 presidential campaign,political_events
103,https://www.nytimes.com/2024/09/11/us/politics/trump-debate-migrants.html,2024-09-11,America,locations
104,https://www.nytimes.com/2024/09/06/technology/elon-musk-donald-trump-influence.html,2024-09-06,Donald Trump,people
105,https://www.nytimes.com/2024/09/06/technology/elon-musk-donald-trump-influence.html,2024-09-06,Elon Musk,people
106,https://www.nytimes.com/2024/09/06/technology/elon-musk-donald-trump-influence.html,2024-09-06,Tesla,institutions
107,https://www.nytimes.com/2024/09/06/technology/elon-musk-donald-trump-influence.html,2024-09-06,SpaceX,institutions
108,https://www.nytimes.com/2024/09/06/technology/elon-musk-donald-trump-influence.html,2024-09-06,X,institutions
109,https://www.nytimes.com/2024/09/06/technology/elon-musk-donald-trump-influence.html,2024-09-06,Economic Club of New York,institutions
110,https://www.nytimes.com/2024/09/06/technology/elon-musk-donald-trump-influence.html,2024-09-06,New York,locations
111,https://www.nytimes.com/2024/09/07/us/politics/trump-rally-wisconsin.html,2024-09-07,Mr. Trump,people
112,https://www.nytimes.com/2024/09/07/us/politics/trump-rally-wisconsin.html,2024-09-07,President Biden,people
113,https://www.nytimes.com/2024/09/07/us/politics/trump-rally-wisconsin.html,2024-09-07,The New York Times,institutions
114,https://www.nytimes.com/2024/09/07/us/politics/trump-rally-wisconsin.html,2024-09-07,White House,institutions
115,https://www.nytimes.com/2024/09/07/us/politics/trump-rally-wisconsin.html,2024-09-07,Project 2025,institutions
116,https://www.nytimes.com/2024/09/07/us/politics/trump-rally-wisconsin.html,2024-09-07,Justice Department,institutions
117,https://www.nytimes.com/2024/09/07/us/politics/trump-rally-wisconsin.html,2024-09-07,presidential campaign,political_events
118,https://www.nytimes.com/2024/09/07/us/politics/trump-rally-wisconsin.html,2024-09-07,Republican,political_parties
119,https://www.nytimes.com/2024/09/10/technology/trump-dead-cats-migrants-ohio.html,2024-09-10,Charlie Kirk,people
120,https://www.nytimes.com/2024/09/10/technology/trump-dead-cats-migrants-ohio.html,2024-09-10,Turning Point USA,institutions
121,https://www.nytimes.com/2024/09/10/technology/trump-dead-cats-migrants-ohio.html,2024-09-10,City of Springfield,institutions
122,https://www.nytimes.com/2024/09/10/technology/trump-dead-cats-migrants-ohio.html,2024-09-10,Facebook,institutions
123,https://www.nytimes.com/2024/09/10/technology/trump-dead-cats-migrants-ohio.html,2024-09-10,2020 election,political_events
124,https://www.nytimes.com/2024/09/10/technology/trump-dead-cats-migrants-ohio.html,2024-09-10,Democratic Party,political_parties
125,https://www.nytimes.com/2024/09/10/technology/trump-dead-cats-migrants-ohio.html,2024-09-10,Springfield,locations
126,https://www.nytimes.com/2024/09/10/technology/trump-dead-cats-migrants-ohio.html,2024-09-10,OH,locations
127,https://www.nytimes.com/2024/09/10/technology/trump-dead-cats-migrants-ohio.html,2024-09-10,Haiti,locations
128,https://www.nytimes.com/2024/09/10/technology/trump-dead-cats-migrants-ohio.html,2024-09-10,Russia,locations
129,https://www.washingtonpost.com/politics/interactive/2024/donald-trump-policy-positions/,2024-09-10,Donald Trump,people
130,https://www.washingtonpost.com/politics/interactive/2024/donald-trump-policy-positions/,2024-09-10,Washington Post,institutions
131,https://www.washingtonpost.com/politics/interactive/2024/donald-trump-policy-positions/,2024-09-10,2020 debate,political_events
132,https://www.washingtonpost.com/politics/2024/09/09/kamala-harris-campaign-platform-website/,2024-09-09,Kamala Harris,people
133,https://www.washingtonpost.com/politics/2024/09/09/kamala-harris-campaign-platform-website/,2024-09-09,Donald Trump,people
134,https://www.washingtonpost.com/politics/2024/09/09/kamala-harris-campaign-platform-website/,2024-09-09,Joe Biden,people
135,https://www.washingtonpost.com/politics/2024/09/09/kamala-harris-campaign-platform-website/,2024-09-09,Washington Post,institutions
136,https://www.washingtonpost.com/politics/2024/09/09/kamala-harris-campaign-platform-website/,2024-09-09,first debate,political_events
137,https://www.washingtonpost.com/politics/2024/09/09/kamala-harris-campaign-platform-website/,2024-09-09,presidential campaign,political_events
138,https://www.washingtonpost.com/politics/2024/09/09/kamala-harris-campaign-platform-website/,2024-09-09,war in Gaza,political_events
139,https://www.washingtonpost.com/politics/2024/09/09/kamala-harris-campaign-platform-website/,2024-09-09,Democratic Party,political_parties
140,https://www.washingtonpost.com/politics/2024/09/09/kamala-harris-campaign-platform-website/,2024-09-09,Republican Party,political_parties
141,https://www.washingtonpost.com/politics/2024/09/09/kamala-harris-campaign-platform-website/,2024-09-09,Central America,locations
142,https://www.washingtonpost.com/politics/2024/09/09/kamala-harris-campaign-platform-website/,2024-09-09,Israel,locations
143,https://www.washingtonpost.com/politics/2024/09/09/kamala-harris-campaign-platform-website/,2024-09-09,Gaza,locations
144,https://www.washingtonpost.com/politics/2024/09/09/kamala-harris-campaign-platform-website/,2024-09-09,China,locations
145,https://www.washingtonpost.com/politics/interactive/2024/kamala-harris-policy-positions/,2024-09-10,Kamala Harris,people
146,https://www.washingtonpost.com/politics/interactive/2024/kamala-harris-policy-positions/,2024-09-10,US,institutions
147,https://www.washingtonpost.com/politics/interactive/2024/kamala-harris-policy-positions/,2024-09-10,Senate,institutions
148,https://www.washingtonpost.com/politics/interactive/2024/kamala-harris-policy-positions/,2024-09-10,California,institutions
149,https://www.washingtonpost.com/politics/2024/09/11/kamala-harris-debate-performance-polls/,2024-09-11,Kamala Harris,people
150,https://www.washingtonpost.com/politics/2024/09/11/kamala-harris-debate-performance-polls/,2024-09-11,Donald Trump,people
151,https://www.washingtonpost.com/politics/2024/09/11/kamala-harris-debate-performance-polls/,2024-09-11,Joe Biden,people
152,https://www.washingtonpost.com/politics/2024/09/11/kamala-harris-debate-performance-polls/,2024-09-11,Hillary Clinton,people
153,https://www.washingtonpost.com/politics/2024/09/11/kamala-harris-debate-performance-polls/,2024-09-11,Mitt Romney,people
154,https://www.washingtonpost.com/politics/2024/09/11/kamala-harris-debate-performance-polls/,2024-09-11,Barack Obama,people
155,https://www.washingtonpost.com/politics/2024/09/11/kamala-harris-debate-performance-polls/,2024-09-11,Bill Clinton,people
156,https://www.washingtonpost.com/politics/2024/09/11/kamala-harris-debate-performance-polls/,2024-09-11,Bob Dole,people
157,https://www.washingtonpost.com/politics/2024/09/11/kamala-harris-debate-performance-polls/,2024-09-11,Mike Pence,people
158,https://www.washingtonpost.com/politics/2024/09/11/kamala-harris-debate-performance-polls/,2024-09-11,CNN,institutions
159,https://www.washingtonpost.com/politics/2024/09/11/kamala-harris-debate-performance-polls/,2024-09-11,YouGov,institutions
160,https://www.washingtonpost.com/politics/2024/09/11/kamala-harris-debate-performance-polls/,2024-09-11,Truth Social,institutions
161,https://www.washingtonpost.com/politics/2024/09/11/kamala-harris-debate-performance-polls/,2024-09-11,the debate,political_events
162,https://www.washingtonpost.com/politics/2024/09/11/kamala-harris-debate-performance-polls/,2024-09-11,debate performance,political_events
163,https://www.washingtonpost.com/politics/2024/09/11/kamala-harris-debate-performance-polls/,2024-09-11,2020 debate,political_events
164,https://www.washingtonpost.com/politics/2024/09/11/kamala-harris-debate-performance-polls/,2024-09-11,vice-presidential debate,political_events
165,https://www.washingtonpost.com/politics/2024/09/11/kamala-harris-debate-performance-polls/,2024-09-11,early 2019 debates,political_events
166,https://www.washingtonpost.com/politics/2024/09/11/kamala-harris-debate-performance-polls/,2024-09-11,presidential debate,political_events
167,https://www.washingtonpost.com/politics/2024/09/11/kamala-harris-debate-performance-polls/,2024-09-11,Democratic,political_parties
168,https://www.washingtonpost.com/politics/2024/09/11/kamala-harris-debate-performance-polls/,2024-09-11,Iowa,locations
169,https://www.washingtonpost.com/politics/interactive/2023/presidential-candidates-2024-policies-issues/kamala-harris-immigration/,2024-09-10,Kamala Harris,people
170,https://www.washingtonpost.com/politics/interactive/2023/presidential-candidates-2024-policies-issues/kamala-harris-immigration/,2024-09-10,Donald Trump,people
171,https://www.washingtonpost.com/politics/interactive/2023/presidential-candidates-2024-policies-issues/kamala-harris-immigration/,2024-09-10,Joe Biden,people
172,https://www.washingtonpost.com/politics/interactive/2023/presidential-candidates-2024-policies-issues/kamala-harris-immigration/,2024-09-10,Democratic National Convention,institutions
173,https://www.washingtonpost.com/politics/interactive/2023/presidential-candidates-2024-policies-issues/kamala-harris-immigration/,2024-09-10,Congress,institutions
174,https://www.washingtonpost.com/politics/interactive/2023/presidential-candidates-2024-policies-issues/kamala-harris-immigration/,2024-09-10,US,institutions
176,https://www.washingtonpost.com/politics/interactive/2023/presidential-candidates-2024-policies-issues/kamala-harris-abortion/,2024-09-10,Kamala Harris,people
177,https://www.cnn.com/2024/09/10/politics/debate-takeaways-trump-harris/index.html,2024-09-10,Kamala Harris,people
178,https://www.cnn.com/2024/09/10/politics/debate-takeaways-trump-harris/index.html,2024-09-10,Donald Trump,people
179,https://www.cnn.com/2024/09/10/politics/debate-takeaways-trump-harris/index.html,2024-09-10,Joe Biden,people
180,https://www.cnn.com/2024/09/10/politics/debate-takeaways-trump-harris/index.html,2024-09-10,JD Vance,people
181,https://www.cnn.com/2024/09/10/politics/debate-takeaways-trump-harris/index.html,2024-09-10,David Muir,people
182,https://www.cnn.com/2024/09/10/politics/debate-takeaways-trump-harris/index.html,2024-09-10,Linsey Davis,people
183,https://www.cnn.com/2024/09/10/politics/debate-takeaways-trump-harris/index.html,2024-09-10,Ralph Northam,people
184,https://www.cnn.com/2024/09/10/politics/debate-takeaways-trump-harris/index.html,2024-09-10,Barack Obama,people
185,https://www.cnn.com/2024/09/10/politics/debate-takeaways-trump-harris/index.html,2024-09-10,Michael Bloomberg,people
186,https://www.cnn.com/2024/09/10/politics/debate-takeaways-trump-harris/index.html,2024-09-10,Benjamin Netanyahu,people
187,https://www.cnn.com/2024/09/10/politics/debate-takeaways-trump-harris/index.html,2024-09-10,Putin,people
188,https://www.cnn.com/2024/09/10/politics/debate-takeaways-trump-harris/index.html,2024-09-10,Viktor Orbán,people
189,https://www.cnn.com/2024/09/10/politics/debate-takeaways-trump-harris/index.html,2024-09-10,Sean Hannity,people
190,https://www.cnn.com/2024/09/10/politics/debate-takeaways-trump-harris/index.html,2024-09-10,Kaitlan Collins,people
191,https://www.cnn.com/2024/09/10/politics/debate-takeaways-trump-harris/index.html,2024-09-10,Douglas Emhoff,people
192,https://www.cnn.com/2024/09/10/politics/debate-takeaways-trump-harris/index.html,2024-09-10,Robert F. Kennedy Jr.,people
193,https://www.cnn.com/2024/09/10/politics/debate-takeaways-trump-harris/index.html,2024-09-10,Anthony Scaramucci,people
194,https://www.cnn.com/2024/09/10/politics/debate-takeaways-trump-harris/index.html,2024-09-10,Olivia Troye,people
195,https://www.cnn.com/2024/09/10/politics/debate-takeaways-trump-harris/index.html,2024-09-10,Taylor Swift,people
196,https://www.cnn.com/2024/09/10/politics/debate-takeaways-trump-harris/index.html,2024-09-10,CNN,institutions
197,https://www.cnn.com/2024/09/10/politics/debate-takeaways-trump-harris/index.html,2024-09-10,NBC News,institutions
198,https://www.cnn.com/2024/09/10/politics/debate-takeaways-trump-harris/index.html,2024-09-10,FBI,institutions
199,https://www.cnn.com/2024/09/10/politics/debate-takeaways-trump-harris/index.html,2024-09-10,NATO,institutions
200,https://www.cnn.com/2024/09/10/politics/debate-takeaways-trump-harris/index.html,2024-09-10,AFP,institutions
201,https://www.cnn.com/2024/09/10/politics/debate-takeaways-trump-harris/index.html,2024-09-10,Getty Images,institutions
202,https://www.cnn.com/2024/09/10/politics/debate-takeaways-trump-harris/index.html,2024-09-10,Fox News,institutions
203,https://www.cnn.com/2024/09/10/politics/debate-takeaways-trump-harris/index.html,2024-09-10,first debate,political_events
204,https://www.cnn.com/2024/09/10/politics/debate-takeaways-trump-harris/index.html,2024-09-10,2020 election,political_events
205,https://www.cnn.com/2024/09/10/politics/debate-takeaways-trump-harris/index.html,2024-09-10,June debate,political_events
206,https://www.cnn.com/2024/09/10/politics/debate-takeaways-trump-harris/index.html,2024-09-10,presidential debate,political_events
207,https://www.cnn.com/2024/09/10/politics/debate-takeaways-trump-harris/index.html,2024-09-10,"October 7, 2023, attacks",political_events
208,https://www.cnn.com/2024/09/10/politics/debate-takeaways-trump-harris/index.html,2024-09-10,Russian war in Ukraine,political_events
209,https://www.cnn.com/2024/09/10/politics/debate-takeaways-trump-harris/index.html,2024-09-10,debate,political_events
210,https://www.cnn.com/2024/09/10/politics/debate-takeaways-trump-harris/index.html,2024-09-10,Biden’s inauguration,political_events
211,https://www.cnn.com/2024/09/10/politics/debate-takeaways-trump-harris/index.html,2024-09-10,election,political_events
212,https://www.cnn.com/2024/09/10/politics/debate-takeaways-trump-harris/index.html,2024-09-10,Democratic Party,political_parties
213,https://www.cnn.com/2024/09/10/politics/debate-takeaways-trump-harris/index.html,2024-09-10,Philadelphia,locations
214,https://www.cnn.com/2024/09/10/politics/debate-takeaways-trump-harris/index.html,2024-09-10,US,locations
215,https://www.cnn.com/2024/09/10/politics/debate-takeaways-trump-harris/index.html,2024-09-10,Ohio,locations
216,https://www.cnn.com/2024/09/10/politics/debate-takeaways-trump-harris/index.html,2024-09-10,Springfield,locations
217,https://www.cnn.com/2024/09/10/politics/debate-takeaways-trump-harris/index.html,2024-09-10,Haiti,locations
218,https://www.cnn.com/2024/09/10/politics/debate-takeaways-trump-harris/index.html,2024-09-10,Virginia,locations
219,https://www.cnn.com/2024/09/10/politics/debate-takeaways-trump-harris/index.html,2024-09-10,New York,locations
220,https://www.cnn.com/2024/09/10/politics/debate-takeaways-trump-harris/index.html,2024-09-10,Gaza,locations
221,https://www.cnn.com/2024/09/10/politics/debate-takeaways-trump-harris/index.html,2024-09-10,Ukraine,locations
222,https://www.cnn.com/2024/09/10/politics/debate-takeaways-trump-harris/index.html,2024-09-10,Israel,locations
223,https://www.cnn.com/2024/09/10/politics/debate-takeaways-trump-harris/index.html,2024-09-10,Capitol Hill,locations
224,https://www.cnn.com/2024/09/10/politics/debate-takeaways-trump-harris/index.html,2024-09-10,Hungary,locations
225,https://www.cnn.com/2024/09/10/politics/debate-takeaways-trump-harris/index.html,2024-09-10,Poland,locations
226,https://www.cnn.com/2024/09/10/politics/debate-takeaways-trump-harris/index.html,2024-09-10,Afghanistan,locations
227,https://www.cnn.com/2024/09/07/politics/trump-modify-25th-amendment-harris-biden/index.html,2024-09-07,Donald Trump,people
228,https://www.cnn.com/2024/09/07/politics/trump-modify-25th-amendment-harris-biden/index.html,2024-09-07,Joe Biden,people
229,https://www.cnn.com/2024/09/07/politics/trump-modify-25th-amendment-harris-biden/index.html,2024-09-07,Kamala Harris,people
230,https://www.cnn.com/2024/09/07/politics/trump-modify-25th-amendment-harris-biden/index.html,2024-09-07,Dana Bash,people
231,https://www.cnn.com/2024/09/07/politics/trump-modify-25th-amendment-harris-biden/index.html,2024-09-07,CNN,institutions
232,https://www.cnn.com/2024/09/07/politics/trump-modify-25th-amendment-harris-biden/index.html,2024-09-07,Democratic Party,institutions
233,https://www.cnn.com/2024/09/07/politics/trump-modify-25th-amendment-harris-biden/index.html,2024-09-07,Republican Party,institutions
234,https://www.cnn.com/2024/09/07/politics/trump-modify-25th-amendment-harris-biden/index.html,2024-09-07,House,institutions
235,https://www.cnn.com/2024/09/07/politics/trump-modify-25th-amendment-harris-biden/index.html,2024-09-07,Senate,institutions
236,https://www.cnn.com/2024/09/07/politics/trump-modify-25th-amendment-harris-biden/index.html,2024-09-07,US Capitol,institutions
237,https://www.cnn.com/2024/09/07/politics/trump-modify-25th-amendment-harris-biden/index.html,2024-09-07,June debate,political_events
238,https://www.cnn.com/2024/09/07/politics/trump-modify-25th-amendment-harris-biden/index.html,2024-09-07,State of the Union,political_events
239,https://www.cnn.com/2024/09/07/politics/trump-modify-25th-amendment-harris-biden/index.html,2024-09-07,Jan. 6 attack,political_events
242,https://www.cnn.com/2024/09/07/politics/trump-modify-25th-amendment-harris-biden/index.html,2024-09-07,Wisconsin,locations
243,https://www.cnn.com/2024/09/07/politics/trump-modify-25th-amendment-harris-biden/index.html,2024-09-07,US,locations
244,https://www.cnn.com/2024/09/05/politics/trump-economic-plans-musk-government-commission/index.html,2024-09-05,Donald Trump,people
245,https://www.cnn.com/2024/09/05/politics/trump-economic-plans-musk-government-commission/index.html,2024-09-05,Elon Musk,people
246,https://www.cnn.com/2024/09/05/politics/trump-economic-plans-musk-government-commission/index.html,2024-09-05,Kamala Harris,people
247,https://www.cnn.com/2024/09/05/politics/trump-economic-plans-musk-government-commission/index.html,2024-09-05,Joe Biden,people
248,https://www.cnn.com/2024/09/05/politics/trump-economic-plans-musk-government-commission/index.html,2024-09-05,Brian Hughes,people
249,https://www.cnn.com/2024/09/05/politics/trump-economic-plans-musk-government-commission/index.html,2024-09-05,Vince Haley,people
250,https://www.cnn.com/2024/09/05/politics/trump-economic-plans-musk-government-commission/index.html,2024-09-05,Brian Nelson,people
251,https://www.cnn.com/2024/09/05/politics/trump-economic-plans-musk-government-commission/index.html,2024-09-05,John Podesta,people
252,https://www.cnn.com/2024/09/05/politics/trump-economic-plans-musk-government-commission/index.html,2024-09-05,Matt Egan,people
253,https://www.cnn.com/2024/09/05/politics/trump-economic-plans-musk-government-commission/index.html,2024-09-05,Ella Nilsen,people
254,https://www.cnn.com/2024/09/05/politics/trump-economic-plans-musk-government-commission/index.html,2024-09-05,Ebony Davis,people
255,https://www.cnn.com/2024/09/05/politics/trump-economic-plans-musk-government-commission/index.html,2024-09-05,Marc Goldwein,people
256,https://www.cnn.com/2024/09/05/politics/trump-economic-plans-musk-government-commission/index.html,2024-09-05,CNN,institutions
257,https://www.cnn.com/2024/09/05/politics/trump-economic-plans-musk-government-commission/index.html,2024-09-05,Economic Club of New York,institutions
