,source,target,relationship,sentiment,url,date
26,Luke Schroeder,Threats,opposes,FRIENDLY,https://www.nytimes.com/live/2024/09/12/us/harris-trump-election,2024-09-12
27,National Justice Party,Haitians,criticizes,HOSTILE,https://www.nytimes.com/live/2024/09/12/us/harris-trump-election,2024-09-12
28,The Post Millennial,Nathan Clark,criticizes,HOSTILE,https://www.nytimes.com/live/2024/09/12/us/harris-trump-election,2024-09-12
29,Blaze Media,Nathan Clark,criticizes,HOSTILE,https://www.nytimes.com/live/2024/09/12/us/harris-trump-election,2024-09-12
30,Rob Rue,Haitians,supports,FRIENDLY,https://www.nytimes.com/live/2024/09/12/us/harris-trump-election,2024-09-12
31,Donald Trump,Kamala Harris,opposes,NEUTRAL,https://www.nytimes.com/2024/09/06/us/politics/harris-trump-debate.html,2024-09-06
32,Kamala Harris,Donald Trump,opposes,NEUTRAL,https://www.nytimes.com/2024/09/06/us/politics/harris-trump-debate.html,2024-09-06
33,Donald Trump,Kamala Harris,criticizes,HOSTILE,https://www.nytimes.com/2024/09/11/us/politics/trump-debate-dark-picture.html,2024-09-11
34,Donald Trump,Joe Biden,criticizes,HOSTILE,https://www.nytimes.com/2024/09/11/us/politics/trump-debate-dark-picture.html,2024-09-11
35,Donald Trump,Kamala Harris,opposes,HOSTILE,https://www.nytimes.com/2024/09/11/us/politics/trump-debate-migrants.html,2024-09-11
36,Donald Trump,Elon Musk,endorses,NEUTRAL,https://www.nytimes.com/2024/09/06/technology/elon-musk-donald-trump-influence.html,2024-09-06
37,Elon Musk,Donald Trump,supports,FRIENDLY,https://www.nytimes.com/2024/09/06/technology/elon-musk-donald-trump-influence.html,2024-09-06
38,Donald Trump,X,criticizes,NEUTRAL,https://www.nytimes.com/2024/09/06/technology/elon-musk-donald-trump-influence.html,2024-09-06
39,Elon Musk,X,leads,NEUTRAL,https://www.nytimes.com/2024/09/06/technology/elon-musk-donald-trump-influence.html,2024-09-06
40,Elon Musk,Tesla,leads,NEUTRAL,https://www.nytimes.com/2024/09/06/technology/elon-musk-donald-trump-influence.html,2024-09-06
41,Elon Musk,SpaceX,leads,NEUTRAL,https://www.nytimes.com/2024/09/06/technology/elon-musk-donald-trump-influence.html,2024-09-06
42,Mr. Trump,Project 2025,supports,NEUTRAL,https://www.nytimes.com/2024/09/07/us/politics/trump-rally-wisconsin.html,2024-09-07
43,Mr. Trump,Justice Department,criticizes,HOSTILE,https://www.nytimes.com/2024/09/07/us/politics/trump-rally-wisconsin.html,2024-09-07
44,President Biden,Mr. Trump,opposes,NEUTRAL,https://www.nytimes.com/2024/09/07/us/politics/trump-rally-wisconsin.html,2024-09-07
45,Charlie Kirk,City of Springfield,criticizes,HOSTILE,https://www.nytimes.com/2024/09/10/technology/trump-dead-cats-migrants-ohio.html,2024-09-10
46,Donald Trump,climate change,opposes,HOSTILE,https://www.washingtonpost.com/politics/interactive/2024/donald-trump-policy-positions/,2024-09-10
47,Kamala Harris,Donald Trump,opposes,NEUTRAL,https://www.washingtonpost.com/politics/2024/09/09/kamala-harris-campaign-platform-website/,2024-09-09
48,Kamala Harris,Joe Biden,supports,FRIENDLY,https://www.washingtonpost.com/politics/2024/09/09/kamala-harris-campaign-platform-website/,2024-09-09
49,Donald Trump,Kamala Harris,criticizes,HOSTILE,https://www.washingtonpost.com/politics/2024/09/09/kamala-harris-campaign-platform-website/,2024-09-09
50,Kamala Harris,climate change,supports,FRIENDLY,https://www.washingtonpost.com/politics/interactive/2024/kamala-harris-policy-positions/,2024-09-10
51,Kamala Harris,oil companies,accuses,HOSTILE,https://www.washingtonpost.com/politics/interactive/2024/kamala-harris-policy-positions/,2024-09-10
52,Joe Biden,Donald Trump,opposes,NEUTRAL,https://www.washingtonpost.com/politics/2024/09/11/kamala-harris-debate-performance-polls/,2024-09-11
53,Hillary Clinton,Donald Trump,opposes,NEUTRAL,https://www.washingtonpost.com/politics/2024/09/11/kamala-harris-debate-performance-polls/,2024-09-11
54,Mitt Romney,Barack Obama,opposes,NEUTRAL,https://www.washingtonpost.com/politics/2024/09/11/kamala-harris-debate-performance-polls/,2024-09-11
55,Bill Clinton,Bob Dole,opposes,NEUTRAL,https://www.washingtonpost.com/politics/2024/09/11/kamala-harris-debate-performance-polls/,2024-09-11
56,Kamala Harris,Donald Trump,opposes,NEUTRAL,https://www.washingtonpost.com/politics/2024/09/11/kamala-harris-debate-performance-polls/,2024-09-11
57,Kamala Harris,Mike Pence,opposes,NEUTRAL,https://www.washingtonpost.com/politics/2024/09/11/kamala-harris-debate-performance-polls/,2024-09-11
58,Kamala Harris,Donald Trump,opposes,HOSTILE,https://www.washingtonpost.com/politics/interactive/2023/presidential-candidates-2024-policies-issues/kamala-harris-immigration/,2024-09-10
59,Kamala Harris,Joe Biden,partners with,NEUTRAL,https://www.washingtonpost.com/politics/interactive/2023/presidential-candidates-2024-policies-issues/kamala-harris-immigration/,2024-09-10
60,Kamala Harris,Roe v. Wade,supports,FRIENDLY,https://www.washingtonpost.com/politics/interactive/2023/presidential-candidates-2024-policies-issues/kamala-harris-abortion/,2024-09-10
61,Kamala Harris,a bill that would ban abortion after 20 weeks of pregnancy,opposes,HOSTILE,https://www.washingtonpost.com/politics/interactive/2023/presidential-candidates-2024-policies-issues/kamala-harris-abortion/,2024-09-10
62,Kamala Harris,Donald Trump,criticizes,HOSTILE,https://www.cnn.com/2024/09/10/politics/debate-takeaways-trump-harris/index.html,2024-09-10
63,Donald Trump,Kamala Harris,criticizes,HOSTILE,https://www.cnn.com/2024/09/10/politics/debate-takeaways-trump-harris/index.html,2024-09-10
64,Donald Trump,Joe Biden,opposes,HOSTILE,https://www.cnn.com/2024/09/10/politics/debate-takeaways-trump-harris/index.html,2024-09-10
65,Taylor Swift,Democratic ticket,supports,FRIENDLY,https://www.cnn.com/2024/09/10/politics/debate-takeaways-trump-harris/index.html,2024-09-10
66,Kamala Harris,Donald Trump,opposes,HOSTILE,https://www.cnn.com/2024/09/10/politics/debate-takeaways-trump-harris/index.html,2024-09-10
67,Donald Trump,Joe Biden,criticizes,HOSTILE,https://www.cnn.com/2024/09/10/politics/debate-takeaways-trump-harris/index.html,2024-09-10
68,Kamala Harris,Joe Biden,supports,FRIENDLY,https://www.cnn.com/2024/09/10/politics/debate-takeaways-trump-harris/index.html,2024-09-10
69,Donald Trump,Benjamin Netanyahu,criticizes,HOSTILE,https://www.cnn.com/2024/09/10/politics/debate-takeaways-trump-harris/index.html,2024-09-10
70,Kamala Harris,Israel,supports,NEUTRAL,https://www.cnn.com/2024/09/10/politics/debate-takeaways-trump-harris/index.html,2024-09-10
71,Donald Trump,Putin,supports,FRIENDLY,https://www.cnn.com/2024/09/10/politics/debate-takeaways-trump-harris/index.html,2024-09-10
72,Donald Trump,Kamala Harris,accuses,HOSTILE,https://www.cnn.com/2024/09/10/politics/debate-takeaways-trump-harris/index.html,2024-09-10
73,Kamala Harris,Poland,supports,NEUTRAL,https://www.cnn.com/2024/09/10/politics/debate-takeaways-trump-harris/index.html,2024-09-10
74,Robert F. Kennedy Jr.,Donald Trump,endorses,NEUTRAL,https://www.cnn.com/2024/09/10/politics/debate-takeaways-trump-harris/index.html,2024-09-10
75,Donald Trump,Joe Biden,criticizes,HOSTILE,https://www.cnn.com/2024/09/07/politics/trump-modify-25th-amendment-harris-biden/index.html,2024-09-07
76,Donald Trump,Kamala Harris,criticizes,HOSTILE,https://www.cnn.com/2024/09/07/politics/trump-modify-25th-amendment-harris-biden/index.html,2024-09-07
77,Kamala Harris,Joe Biden,defends,FRIENDLY,https://www.cnn.com/2024/09/07/politics/trump-modify-25th-amendment-harris-biden/index.html,2024-09-07
78,Donald Trump,Joe Biden,opposes,HOSTILE,https://www.cnn.com/2024/09/07/politics/trump-modify-25th-amendment-harris-biden/index.html,2024-09-07
79,Donald Trump,25th Amendment,criticizes,HOSTILE,https://www.cnn.com/2024/09/07/politics/trump-modify-25th-amendment-harris-biden/index.html,2024-09-07
80,Joe Biden,Democratic Party,represents,NEUTRAL,https://www.cnn.com/2024/09/07/politics/trump-modify-25th-amendment-harris-biden/index.html,2024-09-07
81,Donald Trump,Elon Musk,supports,FRIENDLY,https://www.cnn.com/2024/09/05/politics/trump-economic-plans-musk-government-commission/index.html,2024-09-05
82,Elon Musk,Donald Trump,endorses,FRIENDLY,https://www.cnn.com/2024/09/05/politics/trump-economic-plans-musk-government-commission/index.html,2024-09-05
83,Donald Trump,Kamala Harris,criticizes,HOSTILE,https://www.cnn.com/2024/09/05/politics/trump-economic-plans-musk-government-commission/index.html,2024-09-05
84,Kamala Harris,Joe Biden,partners with,NEUTRAL,https://www.cnn.com/2024/09/05/politics/trump-economic-plans-musk-government-commission/index.html,2024-09-05
85,Joe Biden,Kamala Harris,endorses,NEUTRAL,https://www.cnn.com/2024/09/05/politics/trump-economic-plans-musk-government-commission/index.html,2024-09-05
86,Donald Trump,Joe Biden,criticizes,HOSTILE,https://www.cnn.com/2024/09/05/politics/trump-economic-plans-musk-government-commission/index.html,2024-09-05
87,Brian Nelson,Donald Trump,accuses,HOSTILE,https://www.cnn.com/2024/09/05/politics/trump-economic-plans-musk-government-commission/index.html,2024-09-05
88,Brian Hughes,Kamala Harris,criticizes,HOSTILE,https://www.cnn.com/2024/09/05/politics/trump-economic-plans-musk-government-commission/index.html,2024-09-05
89,Republican Party,Internal Revenue Service,criticizes,HOSTILE,https://www.cnn.com/2024/09/05/politics/trump-economic-plans-musk-government-commission/index.html,2024-09-05
90,Donald Trump,Kamala Harris,opposes,HOSTILE,https://www.cnn.com/2024/09/10/politics/fact-check-debate-trump-harris/index.html,2024-09-10
91,Donald Trump,Joe Biden,criticizes,HOSTILE,https://www.cnn.com/2024/09/10/politics/fact-check-debate-trump-harris/index.html,2024-09-10
92,Kamala Harris,Donald Trump,criticizes,HOSTILE,https://www.cnn.com/2024/09/10/politics/fact-check-debate-trump-harris/index.html,2024-09-10
93,Donald Trump,Joe Biden,accuses,HOSTILE,https://www.cnn.com/2024/09/10/politics/fact-check-debate-trump-harris/index.html,2024-09-10
94,Donald Trump,China,accuses,HOSTILE,https://www.cnn.com/2024/09/10/politics/fact-check-debate-trump-harris/index.html,2024-09-10
95,Donald Trump,Nancy Pelosi,accuses,HOSTILE,https://www.cnn.com/2024/09/10/politics/fact-check-debate-trump-harris/index.html,2024-09-10
96,Donald Trump,Kamala Harris,accuses,HOSTILE,https://www.cnn.com/2024/09/10/politics/fact-check-debate-trump-harris/index.html,2024-09-10
97,Donald Trump,Vladimir Putin,criticizes,HOSTILE,https://www.cnn.com/2024/09/10/politics/fact-check-debate-trump-harris/index.html,2024-09-10
98,Joe Biden,Kamala Harris,partners with,NEUTRAL,https://www.cnn.com/2024/09/10/politics/fact-check-debate-trump-harris/index.html,2024-09-10
100,Kamala Harris,Joe Biden,supports,NEUTRAL,https://www.cnn.com/2024/09/10/politics/fact-check-debate-trump-harris/index.html,2024-09-10
101,Donald Trump,Tim Walz,criticizes,HOSTILE,https://www.cnn.com/2024/09/10/politics/fact-check-debate-trump-harris/index.html,2024-09-10
102,Kamala Harris,Donald Trump,opposes,NEUTRAL,https://www.cnn.com/2024/09/08/politics/kamala-harris-donald-trump-debate/index.html,2024-09-08
103,Kamala Harris,Democratic Party,represents,NEUTRAL,https://www.cnn.com/2024/09/08/politics/kamala-harris-donald-trump-debate/index.html,2024-09-08
104,Donald Trump,Joe Biden,opposes,NEUTRAL,https://www.cnn.com/2024/09/08/politics/kamala-harris-donald-trump-debate/index.html,2024-09-08
105,Kamala Harris,Biden administration,represents,NEUTRAL,https://www.cnn.com/2024/09/08/politics/kamala-harris-donald-trump-debate/index.html,2024-09-08
106,Donald Trump,Kamala Harris,accuses,HOSTILE,https://www.cnn.com/2024/09/08/politics/kamala-harris-donald-trump-debate/index.html,2024-09-08
107,Trump campaign,Kamala Harris,accuses,HOSTILE,https://www.cnn.com/2024/09/08/politics/kamala-harris-donald-trump-debate/index.html,2024-09-08
108,Donald Trump,Hillary Clinton,criticizes,HOSTILE,https://www.cnn.com/2024/09/08/politics/kamala-harris-donald-trump-debate/index.html,2024-09-08
109,Tulsi Gabbard,Donald Trump,supports,FRIENDLY,https://www.cnn.com/2024/09/08/politics/kamala-harris-donald-trump-debate/index.html,2024-09-08
110,Kamala Harris,Mike Pence,opposes,NEUTRAL,https://www.cnn.com/2024/09/08/politics/kamala-harris-donald-trump-debate/index.html,2024-09-08
111,Donald Trump,Tulsi Gabbard,partners with,NEUTRAL,https://www.cnn.com/2024/09/08/politics/kamala-harris-donald-trump-debate/index.html,2024-09-08
112,Donald Trump,Kamala Harris,opposes,HOSTILE,https://www.cnn.com/2024/09/11/politics/harris-trump-debate-analysis/index.html,2024-09-11
113,Kamala Harris,Donald Trump,criticizes,HOSTILE,https://www.cnn.com/2024/09/11/politics/harris-trump-debate-analysis/index.html,2024-09-11
114,Donald Trump,President Joe Biden,opposes,HOSTILE,https://www.cnn.com/2024/09/11/politics/harris-trump-debate-analysis/index.html,2024-09-11
115,Kamala Harris,Donald Trump,accuses,HOSTILE,https://www.cnn.com/2024/09/11/politics/harris-trump-debate-analysis/index.html,2024-09-11
117,Taylor Swift,Kamala Harris,endorses,FRIENDLY,https://www.cnn.com/2024/09/11/politics/harris-trump-debate-analysis/index.html,2024-09-11
118,Taylor Swift,Tim Walz,endorses,FRIENDLY,https://www.cnn.com/2024/09/11/politics/harris-trump-debate-analysis/index.html,2024-09-11
119,Anthony Scaramucci,Kamala Harris,supports,FRIENDLY,https://www.cnn.com/2024/09/11/politics/harris-trump-debate-analysis/index.html,2024-09-11
120,Olivia Troye,Kamala Harris,supports,FRIENDLY,https://www.cnn.com/2024/09/11/politics/harris-trump-debate-analysis/index.html,2024-09-11
121,Kamala Harris,Donald Trump,opposes,HOSTILE,https://www.cnn.com/2024/09/11/politics/harris-trump-debate-analysis/index.html,2024-09-11
122,Robert F. Kennedy Jr.,Donald Trump,supports,NEUTRAL,https://www.cnn.com/2024/09/11/politics/harris-trump-debate-analysis/index.html,2024-09-11
123,Donald Trump,Vladimir Putin,partners with,HOSTILE,https://www.cnn.com/2024/09/11/politics/harris-trump-debate-analysis/index.html,2024-09-11
124,Donald Trump,Hungary,partners with,NEUTRAL,https://www.cnn.com/2024/09/11/politics/harris-trump-debate-analysis/index.html,2024-09-11
125,Donald Trump,China,accuses,HOSTILE,https://www.cnn.com/2024/09/09/politics/fact-check-trump-vance-tariffs/index.html,2024-09-09
126,Donald Trump,Kamala Harris,criticizes,HOSTILE,https://www.cnn.com/2024/09/09/politics/fact-check-trump-vance-tariffs/index.html,2024-09-09
127,JD Vance,Donald Trump,supports,NEUTRAL,https://www.cnn.com/2024/09/09/politics/fact-check-trump-vance-tariffs/index.html,2024-09-09
128,Donald Trump,Joe Biden,opposes,HOSTILE,https://www.cnn.com/2024/09/09/politics/fact-check-trump-vance-tariffs/index.html,2024-09-09
129,Donald Trump,JD Vance,partners with,NEUTRAL,https://www.cnn.com/2024/09/06/politics/child-care-trump-what-matters/index.html,2024-09-06
130,JD Vance,Democratic Party,supports,NEUTRAL,https://www.cnn.com/2024/09/06/politics/child-care-trump-what-matters/index.html,2024-09-06
131,Donald Trump,Reshma Saujani,opposes,NEUTRAL,https://www.cnn.com/2024/09/06/politics/child-care-trump-what-matters/index.html,2024-09-06
132,Reshma Saujani,Donald Trump,criticizes,HOSTILE,https://www.cnn.com/2024/09/06/politics/child-care-trump-what-matters/index.html,2024-09-06
133,Donald Trump,Ivanka,partners with,NEUTRAL,https://www.cnn.com/2024/09/06/politics/child-care-trump-what-matters/index.html,2024-09-06
134,Kamala Harris,Democratic Party,represents,NEUTRAL,https://www.cnn.com/2024/09/06/politics/child-care-trump-what-matters/index.html,2024-09-06
135,Donald Trump,Aurora,criticizes,HOSTILE,https://www.cnn.com/2024/09/11/politics/colorado-apartment-complex-battleground-immigration/index.html,2024-09-11
136,Mike Coffman,Danielle Jurinsky,partners with,NEUTRAL,https://www.cnn.com/2024/09/11/politics/colorado-apartment-complex-battleground-immigration/index.html,2024-09-11
137,Aurora,Tren de Aragua,opposes,NEUTRAL,https://www.cnn.com/2024/09/11/politics/colorado-apartment-complex-battleground-immigration/index.html,2024-09-11
138,Danilo,Venezuela,represents,NEUTRAL,https://www.cnn.com/2024/09/11/politics/colorado-apartment-complex-battleground-immigration/index.html,2024-09-11
139,Óscar Naranjo,Tren de Aragua,criticizes,HOSTILE,https://www.cnn.com/2024/09/11/politics/colorado-apartment-complex-battleground-immigration/index.html,2024-09-11
140,Dave Perry,Aurora,supports,FRIENDLY,https://www.cnn.com/2024/09/11/politics/colorado-apartment-complex-battleground-immigration/index.html,2024-09-11
141,Donald Trump,Kamala Harris,criticizes,HOSTILE,https://www.nbcnews.com/politics/2024-election/fact-check-presidential-debate-trump-harris-rcna169687,2024-09-11
142,Kamala Harris,Donald Trump,criticizes,HOSTILE,https://www.nbcnews.com/politics/2024-election/fact-check-presidential-debate-trump-harris-rcna169687,2024-09-11
143,Donald Harris,Karl Marx,represents,NEUTRAL,https://www.nbcnews.com/politics/2024-election/fact-check-presidential-debate-trump-harris-rcna169687,2024-09-11
144,Donald Trump,Kamala Harris,accuses,HOSTILE,https://www.nbcnews.com/politics/2024-election/fact-check-presidential-debate-trump-harris-rcna169687,2024-09-11
146,Donald Trump,Joe Biden,criticizes,HOSTILE,https://www.nbcnews.com/politics/2024-election/fact-check-presidential-debate-trump-harris-rcna169687,2024-09-11
147,Donald Trump,Vladimir Putin,supports,NEUTRAL,https://www.nbcnews.com/politics/2024-election/fact-check-presidential-debate-trump-harris-rcna169687,2024-09-11
148,Kamala Harris,Ukraine,supports,FRIENDLY,https://www.nbcnews.com/politics/2024-election/fact-check-presidential-debate-trump-harris-rcna169687,2024-09-11
150,Donald Trump,China,criticizes,HOSTILE,https://www.nbcnews.com/politics/2024-election/fact-check-presidential-debate-trump-harris-rcna169687,2024-09-11
152,Kamala Harris,Trump campaign,criticizes,HOSTILE,https://www.nbcnews.com/politics/2024-election/fact-check-presidential-debate-trump-harris-rcna169687,2024-09-11
153,Joe Biden,Kamala Harris,partners with,NEUTRAL,https://www.nbcnews.com/politics/2024-election/fact-check-presidential-debate-trump-harris-rcna169687,2024-09-11
154,Joe Biden,Ukraine,supports,FRIENDLY,https://www.nbcnews.com/politics/2024-election/fact-check-presidential-debate-trump-harris-rcna169687,2024-09-11
156,Kamala Harris,Tim Walz,partners with,NEUTRAL,https://www.nbcnews.com/politics/2024-election/fact-check-presidential-debate-trump-harris-rcna169687,2024-09-11
158,Donald Trump,Joe Biden,accuses,HOSTILE,https://www.nbcnews.com/politics/2024-election/fact-check-presidential-debate-trump-harris-rcna169687,2024-09-11
159,Kamala Harris,Donald Trump,clashed,HOSTILE,https://www.nbcnews.com/politics/2024-election/presidential-debate-takeaways-trump-harris-rcna169060,2024-09-11
160,Donald Trump,Kamala Harris,criticizes,HOSTILE,https://www.nbcnews.com/politics/2024-election/presidential-debate-takeaways-trump-harris-rcna169060,2024-09-11
161,Kamala Harris,Joe Biden,represents,NEUTRAL,https://www.nbcnews.com/politics/2024-election/presidential-debate-takeaways-trump-harris-rcna169060,2024-09-11
162,Donald Trump,Joe Biden,criticizes,HOSTILE,https://www.nbcnews.com/politics/2024-election/presidential-debate-takeaways-trump-harris-rcna169060,2024-09-11
163,Kamala Harris,Donald Trump,criticizes,HOSTILE,https://www.nbcnews.com/politics/2024-election/presidential-debate-takeaways-trump-harris-rcna169060,2024-09-11
164,Donald Trump,Kamala Harris,accuses,HOSTILE,https://www.nbcnews.com/politics/2024-election/presidential-debate-takeaways-trump-harris-rcna169060,2024-09-11
165,Donald Trump,Kamala Harris,opposes,HOSTILE,https://www.nbcnews.com/politics/2024-election/presidential-debate-takeaways-trump-harris-rcna169060,2024-09-11
166,Kamala Harris,Donald Trump,opposes,HOSTILE,https://www.nbcnews.com/politics/2024-election/presidential-debate-takeaways-trump-harris-rcna169060,2024-09-11
167,Donald Trump,Haiti,accuses,HOSTILE,https://www.nbcnews.com/politics/2024-election/trump-pushes-baseless-claim-immigrants-eating-pets-rcna170537,2024-09-11
168,David Muir,Donald Trump,criticizes,NEUTRAL,https://www.nbcnews.com/politics/2024-election/trump-pushes-baseless-claim-immigrants-eating-pets-rcna170537,2024-09-11
169,JD Vance,immigrants,criticizes,NEUTRAL,https://www.nbcnews.com/politics/2024-election/trump-pushes-baseless-claim-immigrants-eating-pets-rcna170537,2024-09-11
170,Nathan Clark,Republican,criticizes,HOSTILE,https://www.nbcnews.com/politics/2024-election/trump-pushes-baseless-claim-immigrants-eating-pets-rcna170537,2024-09-11
171,John Kirby,claims about Haitians,criticizes,HOSTILE,https://www.nbcnews.com/politics/2024-election/trump-pushes-baseless-claim-immigrants-eating-pets-rcna170537,2024-09-11
172,Donald Trump,Biden administration,criticizes,HOSTILE,https://www.nbcnews.com/politics/2024-election/trump-pushes-baseless-claim-immigrants-eating-pets-rcna170537,2024-09-11
173,Donald Trump,Hunter Biden,accuses,HOSTILE,https://www.nbcnews.com/politics/2024-election/trump-pushes-baseless-claim-immigrants-eating-pets-rcna170537,2024-09-11
174,Nathan Clark,Donald Trump,criticizes,HOSTILE,https://www.nbcnews.com/news/us-news/father-11-year-old-killed-ohio-crash-says-trump-vance-are-using-son-po-rcna170525,2024-09-11
175,Nathan Clark,JD Vance,criticizes,HOSTILE,https://www.nbcnews.com/news/us-news/father-11-year-old-killed-ohio-crash-says-trump-vance-are-using-son-po-rcna170525,2024-09-11
176,JD Vance,Haitian immigrant,accuses,HOSTILE,https://www.nbcnews.com/news/us-news/father-11-year-old-killed-ohio-crash-says-trump-vance-are-using-son-po-rcna170525,2024-09-11
177,Donald Trump,Nathan Clark,opposes,NEUTRAL,https://www.nbcnews.com/news/us-news/father-11-year-old-killed-ohio-crash-says-trump-vance-are-using-son-po-rcna170525,2024-09-11
178,JD Vance,Nathan Clark,opposes,NEUTRAL,https://www.nbcnews.com/news/us-news/father-11-year-old-killed-ohio-crash-says-trump-vance-are-using-son-po-rcna170525,2024-09-11
179,Kamala Harris,people who are victims of crime allegedly committed by immigrants,opposes,HOSTILE,https://www.nbcnews.com/news/us-news/father-11-year-old-killed-ohio-crash-says-trump-vance-are-using-son-po-rcna170525,2024-09-11
180,Taylor Swift,Kamala Harris,endorses,FRIENDLY,https://www.nbcnews.com/politics/2024-election/taylor-swift-endorses-kamala-harris-rcna170547,2024-09-11
181,Taylor Swift,Tim Walz,endorses,FRIENDLY,https://www.nbcnews.com/politics/2024-election/taylor-swift-endorses-kamala-harris-rcna170547,2024-09-11
182,Taylor Swift,Joe Biden,supports,FRIENDLY,https://www.nbcnews.com/politics/2024-election/taylor-swift-endorses-kamala-harris-rcna170547,2024-09-11
183,Kamala Harris,Taylor Swift,supports,FRIENDLY,https://www.nbcnews.com/politics/2024-election/taylor-swift-endorses-kamala-harris-rcna170547,2024-09-11
184,Donald Trump,Taylor Swift,criticizes,HOSTILE,https://www.nbcnews.com/politics/2024-election/taylor-swift-endorses-kamala-harris-rcna170547,2024-09-11
185,Taylor Swift,Donald Trump,opposes,HOSTILE,https://www.nbcnews.com/politics/2024-election/taylor-swift-endorses-kamala-harris-rcna170547,2024-09-11
186,Taylor Swift,Marsha Blackburn,criticizes,HOSTILE,https://www.nbcnews.com/politics/2024-election/taylor-swift-endorses-kamala-harris-rcna170547,2024-09-11
187,Taylor Swift,Phil Bredesen,endorses,FRIENDLY,https://www.nbcnews.com/politics/2024-election/taylor-swift-endorses-kamala-harris-rcna170547,2024-09-11
188,Donald Trump,children,accuses,HOSTILE,https://www.nbcnews.com/nbc-out/out-politics-and-policy/trump-false-claims-schools-transgender-surgeries-rcna170217,2024-09-09
189,Donald Trump,Moms for Liberty,partners with,NEUTRAL,https://www.nbcnews.com/nbc-out/out-politics-and-policy/trump-false-claims-schools-transgender-surgeries-rcna170217,2024-09-09
190,Donald Trump,transgender students,opposes,HOSTILE,https://www.nbcnews.com/nbc-out/out-politics-and-policy/trump-false-claims-schools-transgender-surgeries-rcna170217,2024-09-09
191,Ron DeSantis,Democratic Party,accuses,HOSTILE,https://www.nbcnews.com/nbc-out/out-politics-and-policy/trump-false-claims-schools-transgender-surgeries-rcna170217,2024-09-09
