source,target,relationship,sentiment,url,article_source,date,is_relevant
Melissa Butt,Koalitionsvertrag,criticizes,HOSTILE,https://www.zeit.de/news/2025-04/14/thueringer-jusos-diskutieren-ueber-koalitionsvertrag-im-bund,german,2025-04-14,1.0
Philipp Türmer,Koalitionsvertrag,opposes,HOSTILE,https://www.zeit.de/news/2025-04/14/thueringer-jusos-diskutieren-ueber-koalitionsvertrag-im-bund,german,2025-04-14,1.0
Thüringer Jusos,Koalitionsvertrag,criticizes,HOSTILE,https://www.zeit.de/news/2025-04/14/thueringer-jusos-diskutieren-ueber-koalitionsvertrag-im-bund,german,2025-04-14,1.0
Robert Lehmann,Rheinland-Pfalz,supports,NEUTRAL,https://www.zeit.de/news/2025-04/15/wirtschaftswachstum-der-laender-im-norden-laeuft-es-besser,german,2025-04-15,1.0
Robert Lehmann,Nordrhein-Westfalen,supports,NEUTRAL,https://www.zeit.de/news/2025-04/15/wirtschaftswachstum-der-laender-im-norden-laeuft-es-besser,german,2025-04-15,1.0
CDU,CSU,partners with,NEUTRAL,https://www.zeit.de/politik/deutschland/2025-04/schwarz-rote-koalition-streit-union-spd-5vor8,german,2025-04-15,1.0
CDU,SPD,partners with,NEUTRAL,https://www.zeit.de/politik/deutschland/2025-04/schwarz-rote-koalition-streit-union-spd-5vor8,german,2025-04-15,1.0
CSU,SPD,partners with,NEUTRAL,https://www.zeit.de/politik/deutschland/2025-04/schwarz-rote-koalition-streit-union-spd-5vor8,german,2025-04-15,1.0
SPD,Union,partners with,NEUTRAL,https://www.zeit.de/news/2025-04/15/spd-abstimmung-ueber-koalitionsvertrag-hat-begonnen,german,2025-04-15,1.0
Friedrich Merz,CDU,leads,NEUTRAL,https://www.zeit.de/news/2025-04/15/spd-abstimmung-ueber-koalitionsvertrag-hat-begonnen,german,2025-04-15,1.0
Jusos,Vertragswerk,criticizes,HOSTILE,https://www.zeit.de/news/2025-04/15/spd-abstimmung-ueber-koalitionsvertrag-hat-begonnen,german,2025-04-15,1.0
Klingbeil,Nachverhandlungen,opposes,HOSTILE,https://www.zeit.de/news/2025-04/15/spd-abstimmung-ueber-koalitionsvertrag-hat-begonnen,german,2025-04-15,1.0
Saskia Esken,Union,supports,FRIENDLY,https://www.zeit.de/news/2025-04/15/spd-abstimmung-ueber-koalitionsvertrag-hat-begonnen,german,2025-04-15,1.0
Union,AfD,opposes,NEUTRAL,https://www.zeit.de/news/2025-04/15/spd-abstimmung-ueber-koalitionsvertrag-hat-begonnen,german,2025-04-15,1.0
Jörg Urban,Regierung,accuses,HOSTILE,https://www.zeit.de/news/2025-04/14/virologe-kritisiert-mehrere-corona-schutzmassnahmen,german,2025-04-14,1.0
AfD-Landtagsfraktion,Regierung,criticizes,HOSTILE,https://www.zeit.de/news/2025-04/14/virologe-kritisiert-mehrere-corona-schutzmassnahmen,german,2025-04-14,1.0
Herbert Reul,CDU,represents,NEUTRAL,https://www.zeit.de/familie/2025-04/duisburger-schulen-rechtsextremismus-drohbrief-schueler,german,2025-04-11,1.0
Markus Söder,Armin Laschet,opposes,HOSTILE,https://www.zeit.de/news/2025-04/15/zurueck-auf-grosser-buehne-soeder-geniesst-seine-neue-rolle,german,2025-04-15,1.0
Markus Söder,Friedrich Merz,partners with,NEUTRAL,https://www.zeit.de/news/2025-04/15/zurueck-auf-grosser-buehne-soeder-geniesst-seine-neue-rolle,german,2025-04-15,1.0
Markus Söder,Ursula von der Leyen,partners with,NEUTRAL,https://www.zeit.de/news/2025-04/15/zurueck-auf-grosser-buehne-soeder-geniesst-seine-neue-rolle,german,2025-04-15,1.0
Friedrich Merz,Markus Söder,partners with,NEUTRAL,https://www.zeit.de/news/2025-04/15/zurueck-auf-grosser-buehne-soeder-geniesst-seine-neue-rolle,german,2025-04-15,1.0
Markus Söder,Narendra Modi,partners with,NEUTRAL,https://www.zeit.de/news/2025-04/15/zurueck-auf-grosser-buehne-soeder-geniesst-seine-neue-rolle,german,2025-04-15,1.0
Alexander Kekulè,Bundesregierung,criticizes,HOSTILE,https://www.zeit.de/news/2025-04/14/virologen-listen-versaeumnisse-der-corona-pandemie-auf,german,2025-04-14,1.0
Detlev Krüger,Bundesgesundheitsministerium,criticizes,HOSTILE,https://www.zeit.de/news/2025-04/14/virologen-listen-versaeumnisse-der-corona-pandemie-auf,german,2025-04-14,1.0
Jörg Urban,Regierung,accuses,HOSTILE,https://www.zeit.de/news/2025-04/14/virologen-listen-versaeumnisse-der-corona-pandemie-auf,german,2025-04-14,1.0
AfD-Landtagsfraktion,Corona-Untersuchungsausschuss des Sächsischen Landtages,leads,NEUTRAL,https://www.zeit.de/news/2025-04/14/virologen-listen-versaeumnisse-der-corona-pandemie-auf,german,2025-04-14,1.0
CDU,Bargeld,supports,FRIENDLY,https://www.zeit.de/news/2025-04/14/schluss-mit-bargeld-nein-schwarz-rot-will-es-erhalten,german,2025-04-14,1.0
CSU,Bargeld,supports,FRIENDLY,https://www.zeit.de/news/2025-04/14/schluss-mit-bargeld-nein-schwarz-rot-will-es-erhalten,german,2025-04-14,1.0
SPD,Bargeld,supports,FRIENDLY,https://www.zeit.de/news/2025-04/14/schluss-mit-bargeld-nein-schwarz-rot-will-es-erhalten,german,2025-04-14,1.0
EZB,Bargeld,supports,FRIENDLY,https://www.zeit.de/news/2025-04/14/schluss-mit-bargeld-nein-schwarz-rot-will-es-erhalten,german,2025-04-14,1.0
SPD,Union,partners with,NEUTRAL,https://www.tagesschau.de/multimedia/sendung/tagesschau_in_einfacher_sprache/tse-600.html,german,2025-04-15,1.0
CDU,CSU,partners with,NEUTRAL,https://www.tagesschau.de/inland/bundestagswahl-koalitionsvertrag-cdu-csu-spd-100.html,german,2025-04-09,1.0
CDU,SPD,partners with,NEUTRAL,https://www.tagesschau.de/inland/bundestagswahl-koalitionsvertrag-cdu-csu-spd-100.html,german,2025-04-09,1.0
CSU,SPD,partners with,NEUTRAL,https://www.tagesschau.de/inland/bundestagswahl-koalitionsvertrag-cdu-csu-spd-100.html,german,2025-04-09,1.0
Friedrich Merz,Saskia Esken,partners with,NEUTRAL,https://www.tagesschau.de/inland/bundestagswahl-koalitionsvertrag-cdu-csu-spd-100.html,german,2025-04-09,1.0
Friedrich Merz,Lars Klingbeil,partners with,NEUTRAL,https://www.tagesschau.de/inland/bundestagswahl-koalitionsvertrag-cdu-csu-spd-100.html,german,2025-04-09,1.0
Lars Klingbeil,Deutschland,supports,FRIENDLY,https://www.tagesschau.de/inland/bundestagswahl-koalitionsvertrag-cdu-csu-spd-100.html,german,2025-04-09,1.0
Markus Söder,Deutschland,supports,NEUTRAL,https://www.tagesschau.de/inland/bundestagswahl-koalitionsvertrag-cdu-csu-spd-100.html,german,2025-04-09,1.0
CDU,Deutschland,supports,NEUTRAL,https://www.tagesschau.de/inland/bundestagswahl-koalitionsvertrag-cdu-csu-spd-100.html,german,2025-04-09,1.0
CSU,Deutschland,supports,NEUTRAL,https://www.tagesschau.de/inland/bundestagswahl-koalitionsvertrag-cdu-csu-spd-100.html,german,2025-04-09,1.0
SPD,Deutschland,supports,NEUTRAL,https://www.tagesschau.de/inland/bundestagswahl-koalitionsvertrag-cdu-csu-spd-100.html,german,2025-04-09,1.0
CDU,Merz,leads,NEUTRAL,https://www.tagesschau.de/newsticker/liveblog-neue-bundesregierung-102.html,german,2025-04-14,1.0
SPD,Klingbeil,leads,NEUTRAL,https://www.tagesschau.de/newsticker/liveblog-neue-bundesregierung-102.html,german,2025-04-14,1.0
CDU,Günther,represents,NEUTRAL,https://www.tagesschau.de/newsticker/liveblog-neue-bundesregierung-102.html,german,2025-04-14,1.0
SPD,Heil,represents,NEUTRAL,https://www.tagesschau.de/newsticker/liveblog-neue-bundesregierung-102.html,german,2025-04-14,1.0
CDU,Merz,represents,NEUTRAL,https://www.tagesschau.de/newsticker/liveblog-neue-bundesregierung-102.html,german,2025-04-14,1.0
SPD,Esdar,represents,NEUTRAL,https://www.tagesschau.de/newsticker/liveblog-neue-bundesregierung-102.html,german,2025-04-14,1.0
SPD,Wiese,represents,NEUTRAL,https://www.tagesschau.de/newsticker/liveblog-neue-bundesregierung-102.html,german,2025-04-14,1.0
SoVD,SPD,endorses,FRIENDLY,https://www.tagesschau.de/newsticker/liveblog-neue-bundesregierung-102.html,german,2025-04-14,1.0
Engelmeier,Union,criticizes,HOSTILE,https://www.tagesschau.de/newsticker/liveblog-neue-bundesregierung-102.html,german,2025-04-14,1.0
Merz,Asylsuchenden,criticizes,HOSTILE,https://www.tagesschau.de/newsticker/liveblog-neue-bundesregierung-102.html,german,2025-04-14,1.0
Körzell,Merz,criticizes,HOSTILE,https://www.tagesschau.de/newsticker/liveblog-neue-bundesregierung-102.html,german,2025-04-14,1.0
Klingbeil,CDU,partners with,NEUTRAL,https://www.tagesschau.de/newsticker/liveblog-neue-bundesregierung-102.html,german,2025-04-14,1.0
CDU,CSU,partners with,NEUTRAL,https://www.tagesschau.de/newsticker/liveblog-neue-bundesregierung-102.html,german,2025-04-14,1.0
Esdar,Merz,criticizes,HOSTILE,https://www.tagesschau.de/newsticker/liveblog-neue-bundesregierung-102.html,german,2025-04-14,1.0
Wiese,Koalitionsvertrag,supports,FRIENDLY,https://www.tagesschau.de/newsticker/liveblog-neue-bundesregierung-102.html,german,2025-04-14,1.0
Büdenbender,Union,criticizes,HOSTILE,https://www.tagesschau.de/newsticker/liveblog-neue-bundesregierung-102.html,german,2025-04-14,1.0
Büdenbender,SPD,criticizes,HOSTILE,https://www.tagesschau.de/newsticker/liveblog-neue-bundesregierung-102.html,german,2025-04-14,1.0
Langkamp,Koalitionsvertrag,criticizes,HOSTILE,https://www.tagesschau.de/newsticker/liveblog-neue-bundesregierung-102.html,german,2025-04-14,1.0
Maier,Koalitionsvertrag,supports,NEUTRAL,https://www.tagesschau.de/newsticker/liveblog-neue-bundesregierung-102.html,german,2025-04-14,1.0
Maier,AfD,opposes,HOSTILE,https://www.tagesschau.de/newsticker/liveblog-neue-bundesregierung-102.html,german,2025-04-14,1.0
Wirtschaft,Mindestlohn,criticizes,HOSTILE,https://www.tagesschau.de/newsticker/liveblog-neue-bundesregierung-102.html,german,2025-04-14,1.0
Erding,Koalitionsvertrag,criticizes,HOSTILE,https://www.tagesschau.de/newsticker/liveblog-neue-bundesregierung-102.html,german,2025-04-14,1.0
Fischedick,Koalitionsvertrag,criticizes,HOSTILE,https://www.tagesschau.de/newsticker/liveblog-neue-bundesregierung-102.html,german,2025-04-14,1.0
Türmer,Koalitionsvertrag,criticizes,HOSTILE,https://www.tagesschau.de/newsticker/liveblog-neue-bundesregierung-102.html,german,2025-04-14,1.0
Günther,Koalitionsvertrag,criticizes,HOSTILE,https://www.tagesschau.de/newsticker/liveblog-neue-bundesregierung-102.html,german,2025-04-14,1.0
Rehlinger,Merz,opposes,NEUTRAL,https://www.tagesschau.de/newsticker/liveblog-neue-bundesregierung-102.html,german,2025-04-14,1.0
Merz,Asylbewerber,criticizes,HOSTILE,https://www.tagesschau.de/newsticker/liveblog-neue-bundesregierung-102.html,german,2025-04-14,1.0
Klingbeil,Union,accuses,HOSTILE,https://www.tagesschau.de/newsticker/liveblog-neue-bundesregierung-102.html,german,2025-04-14,1.0
Heil,Mindestlohnkommission,supports,FRIENDLY,https://www.tagesschau.de/newsticker/liveblog-neue-bundesregierung-102.html,german,2025-04-14,1.0
Pfeiffer,Bundesregierung,criticizes,HOSTILE,https://www.tagesschau.de/newsticker/liveblog-neue-bundesregierung-102.html,german,2025-04-14,1.0
Klüssendorf,Merz,criticizes,HOSTILE,https://www.tagesschau.de/newsticker/liveblog-neue-bundesregierung-102.html,german,2025-04-14,1.0
Rehlinger,Merz,opposes,HOSTILE,https://www.tagesschau.de/newsticker/liveblog-neue-bundesregierung-102.html,german,2025-04-14,1.0
Lars Klingbeil,SPD,leads,NEUTRAL,https://www.tagesschau.de/inland/bundestagswahl-koalition-minister-100.html,german,2025-04-10,1.0
Lars Klingbeil,Bundesfinanzministerium,represents,NEUTRAL,https://www.tagesschau.de/inland/bundestagswahl-koalition-minister-100.html,german,2025-04-10,1.0
Karin Prien,Familienministerium,represents,NEUTRAL,https://www.tagesschau.de/inland/bundestagswahl-koalition-minister-100.html,german,2025-04-10,1.0
Dorothee Bär,CSU,represents,NEUTRAL,https://www.tagesschau.de/inland/bundestagswahl-koalition-minister-100.html,german,2025-04-10,1.0
Armin Laschet,Baerbock,partners with,NEUTRAL,https://www.tagesschau.de/inland/bundestagswahl-koalition-minister-100.html,german,2025-04-10,1.0
Friedrich Merz,CDU,leads,NEUTRAL,https://www.tagesschau.de/inland/innenpolitik/koalitionsverhandlungen-union-spd-100.html,german,2025-03-13,1.0
Jens Spahn,CDU,represents,NEUTRAL,https://www.tagesschau.de/inland/innenpolitik/koalitionsverhandlungen-union-spd-100.html,german,2025-03-13,1.0
Saskia Esken,SPD,leads,NEUTRAL,https://www.tagesschau.de/inland/innenpolitik/koalitionsverhandlungen-union-spd-100.html,german,2025-03-13,1.0
Olaf Scholz,SPD,leads,NEUTRAL,https://www.tagesschau.de/inland/innenpolitik/koalitionsverhandlungen-union-spd-100.html,german,2025-03-13,1.0
CDU,CSU,partners with,NEUTRAL,https://www.tagesschau.de/inland/innenpolitik/koalitionsverhandlungen-union-spd-100.html,german,2025-03-13,1.0
CDU,SPD,partners with,NEUTRAL,https://www.tagesschau.de/inland/innenpolitik/koalitionsverhandlungen-union-spd-100.html,german,2025-03-13,1.0
CSU,SPD,partners with,NEUTRAL,https://www.tagesschau.de/inland/innenpolitik/koalitionsverhandlungen-union-spd-100.html,german,2025-03-13,1.0
CDU,SPD,opposes,HOSTILE,https://www.tagesschau.de/inland/innenpolitik/koalitionsverhandlungen-union-spd-100.html,german,2025-03-13,1.0
CSU,SPD,opposes,HOSTILE,https://www.tagesschau.de/inland/innenpolitik/koalitionsverhandlungen-union-spd-100.html,german,2025-03-13,1.0
Jens Spahn,Saskia Esken,criticizes,HOSTILE,https://www.tagesschau.de/inland/innenpolitik/koalitionsverhandlungen-union-spd-100.html,german,2025-03-13,1.0
CDU,CSU,partners with,NEUTRAL,https://www.tagesschau.de/inland/innenpolitik/koalition-einigung-zeitplan-102.html,german,2025-04-10,1.0
CDU,SPD,partners with,NEUTRAL,https://www.tagesschau.de/inland/innenpolitik/koalition-einigung-zeitplan-102.html,german,2025-04-10,1.0
CSU,CDU,partners with,NEUTRAL,https://www.tagesschau.de/inland/innenpolitik/koalition-einigung-zeitplan-102.html,german,2025-04-10,1.0
CSU,SPD,partners with,NEUTRAL,https://www.tagesschau.de/inland/innenpolitik/koalition-einigung-zeitplan-102.html,german,2025-04-10,1.0
SPD,CDU,partners with,NEUTRAL,https://www.tagesschau.de/inland/innenpolitik/koalition-einigung-zeitplan-102.html,german,2025-04-10,1.0
SPD,CSU,partners with,NEUTRAL,https://www.tagesschau.de/inland/innenpolitik/koalition-einigung-zeitplan-102.html,german,2025-04-10,1.0
Lars Klingbeil,SPD,represents,NEUTRAL,https://www.tagesschau.de/inland/innenpolitik/koalition-einigung-zeitplan-102.html,german,2025-04-10,1.0
Merz,CDU,leads,NEUTRAL,https://www.tagesschau.de/inland/innenpolitik/koalition-einigung-zeitplan-102.html,german,2025-04-10,1.0
Alexander Dobrindt,CSU,leads,NEUTRAL,https://www.tagesschau.de/inland/innenpolitik/koalition-einigung-zeitplan-102.html,german,2025-04-10,1.0
Friedrich Merz,Koalitionsverhandlungen,leads,NEUTRAL,https://www.tagesschau.de/inland/innenpolitik/union-spd-koalitionsverhandlungen-100.html,german,2025-03-28,1.0
Markus Söder,Koalitionsverhandlungen,leads,NEUTRAL,https://www.tagesschau.de/inland/innenpolitik/union-spd-koalitionsverhandlungen-100.html,german,2025-03-28,1.0
Lars Klingbeil,Koalitionsverhandlungen,leads,NEUTRAL,https://www.tagesschau.de/inland/innenpolitik/union-spd-koalitionsverhandlungen-100.html,german,2025-03-28,1.0
Saskia Esken,Koalitionsverhandlungen,leads,NEUTRAL,https://www.tagesschau.de/inland/innenpolitik/union-spd-koalitionsverhandlungen-100.html,german,2025-03-28,1.0
CDU,CSU,partners with,NEUTRAL,https://www.tagesschau.de/inland/innenpolitik/union-spd-koalitionsverhandlungen-100.html,german,2025-03-28,1.0
CDU,SPD,opposes,HOSTILE,https://www.tagesschau.de/inland/innenpolitik/union-spd-koalitionsverhandlungen-100.html,german,2025-03-28,1.0
CSU,SPD,opposes,HOSTILE,https://www.tagesschau.de/inland/innenpolitik/union-spd-koalitionsverhandlungen-100.html,german,2025-03-28,1.0
Union,SPD,opposes,HOSTILE,https://www.tagesschau.de/inland/innenpolitik/union-spd-koalitionsverhandlungen-100.html,german,2025-03-28,1.0
SPD,Union,opposes,HOSTILE,https://www.tagesschau.de/inland/innenpolitik/union-spd-koalitionsverhandlungen-100.html,german,2025-03-28,1.0
Peter Altmaier,CDU,represents,NEUTRAL,https://www.tagesschau.de/inland/innenpolitik/union-spd-koalitionsverhandlungen-100.html,german,2025-03-28,1.0
Gerd Müller,CSU,represents,NEUTRAL,https://www.tagesschau.de/inland/innenpolitik/union-spd-koalitionsverhandlungen-100.html,german,2025-03-28,1.0
Norbert Lammert,CDU,represents,NEUTRAL,https://www.tagesschau.de/inland/innenpolitik/union-spd-koalitionsverhandlungen-100.html,german,2025-03-28,1.0
Union,SPD,partners with,NEUTRAL,https://www.tagesschau.de/eilmeldung/einigung-koalitionsvertrag-union-spd-100.html,german,2025-04-09,1.0
CDU,Friedrich Merz,represents,NEUTRAL,https://www.tagesschau.de/eilmeldung/einigung-koalitionsvertrag-union-spd-100.html,german,2025-04-09,1.0
SPD,Bundesfinanzministerium,represents,NEUTRAL,https://www.tagesschau.de/eilmeldung/einigung-koalitionsvertrag-union-spd-100.html,german,2025-04-09,1.0
SPD,Verteidigungsministerium,represents,NEUTRAL,https://www.tagesschau.de/eilmeldung/einigung-koalitionsvertrag-union-spd-100.html,german,2025-04-09,1.0
