source,target,relationship,sentiment,url,date
Iran,United Nations,partners with,NEUTRAL,https://www.nytimes.com/2024/09/07/world/europe/iran-russia-missiles-ukraine.html,2024-09-07
Donald J. Trump,Kamala Harris,opposes,NEUTRAL,https://www.nytimes.com/2024/09/06/us/politics/harris-trump-debate.html,2024-09-06
Kamala Harris,Donald J. Trump,opposes,NEUTRAL,https://www.nytimes.com/2024/09/06/us/politics/harris-trump-debate.html,2024-09-06
OpenAI,Microsoft,partners with,NEUTRAL,https://www.nytimes.com/2024/09/11/technology/openai-fund-raising-valuation.html,2024-09-11
Microsoft,OpenAI,supports,NEUTRAL,https://www.nytimes.com/2024/09/11/technology/openai-fund-raising-valuation.html,2024-09-11
Elon Musk,OpenAI,founded,NEUTRAL,https://www.nytimes.com/2024/09/11/technology/openai-fund-raising-valuation.html,2024-09-11
OpenAI,Sam Altman,leads,NEUTRAL,https://www.nytimes.com/2024/09/11/technology/openai-fund-raising-valuation.html,2024-09-11
board members,Sam Altman,opposes,HOSTILE,https://www.nytimes.com/2024/09/11/technology/openai-fund-raising-valuation.html,2024-09-11
OpenAI,Ilya Sutskever,lost,NEUTRAL,https://www.nytimes.com/2024/09/11/technology/openai-fund-raising-valuation.html,2024-09-11
Donald J. Trump,Kamala Harris,criticizes,HOSTILE,https://www.nytimes.com/2024/09/11/us/politics/trump-debate-dark-picture.html,2024-09-11
Donald J. Trump,Biden,criticizes,HOSTILE,https://www.nytimes.com/2024/09/11/us/politics/trump-debate-dark-picture.html,2024-09-11
Donald J. Trump,Kamala Harris,opposes,HOSTILE,https://www.nytimes.com/2024/09/11/us/politics/trump-debate-migrants.html,2024-09-11
Donald J. Trump,Elon Musk,endorses,NEUTRAL,https://www.nytimes.com/2024/09/06/technology/elon-musk-donald-trump-influence.html,2024-09-06
Elon Musk,Donald J. Trump,supports,FRIENDLY,https://www.nytimes.com/2024/09/06/technology/elon-musk-donald-trump-influence.html,2024-09-06
Donald J. Trump,X,criticizes,NEUTRAL,https://www.nytimes.com/2024/09/06/technology/elon-musk-donald-trump-influence.html,2024-09-06
Elon Musk,X,leads,NEUTRAL,https://www.nytimes.com/2024/09/06/technology/elon-musk-donald-trump-influence.html,2024-09-06
Elon Musk,Tesla,leads,NEUTRAL,https://www.nytimes.com/2024/09/06/technology/elon-musk-donald-trump-influence.html,2024-09-06
Elon Musk,SpaceX,leads,NEUTRAL,https://www.nytimes.com/2024/09/06/technology/elon-musk-donald-trump-influence.html,2024-09-06
Mr. Trump,Project 2025,supports,NEUTRAL,https://www.nytimes.com/2024/09/07/us/politics/trump-rally-wisconsin.html,2024-09-07
Mr. Trump,Justice Department,criticizes,HOSTILE,https://www.nytimes.com/2024/09/07/us/politics/trump-rally-wisconsin.html,2024-09-07
President Biden,Mr. Trump,opposes,NEUTRAL,https://www.nytimes.com/2024/09/07/us/politics/trump-rally-wisconsin.html,2024-09-07
Apple,OpenAI,partners with,NEUTRAL,https://www.nytimes.com/2024/09/09/technology/apple-event-iphone-16-watch.html,2024-09-09
Google,Apple,criticizes,NEUTRAL,https://www.nytimes.com/2024/09/09/technology/apple-event-iphone-16-watch.html,2024-09-09
Charlie Kirk,City of Springfield,criticizes,HOSTILE,https://www.nytimes.com/2024/09/10/technology/trump-dead-cats-migrants-ohio.html,2024-09-10
Kunimichi Kitagaki,Kyoto,leads,NEUTRAL,https://www.nytimes.com/2024/09/11/travel/kyoto-canals-rivers-streams.html,2024-09-11
Harari,A.I.,criticizes,NEUTRAL,https://www.nytimes.com/2024/09/10/books/review/nexus-yuval-noah-harari.html,2024-09-10
Harari,algorithms,criticizes,NEUTRAL,https://www.nytimes.com/2024/09/10/books/review/nexus-yuval-noah-harari.html,2024-09-10
Trump,climate change,opposes,HOSTILE,https://www.washingtonpost.com/politics/interactive/2024/donald-trump-policy-positions/,2024-09-10
Kamala Harris,Donald Trump,opposes,NEUTRAL,https://www.washingtonpost.com/politics/2024/09/09/kamala-harris-campaign-platform-website/,2024-09-09
Kamala Harris,Joe Biden,supports,FRIENDLY,https://www.washingtonpost.com/politics/2024/09/09/kamala-harris-campaign-platform-website/,2024-09-09
Donald Trump,Kamala Harris,criticizes,HOSTILE,https://www.washingtonpost.com/politics/2024/09/09/kamala-harris-campaign-platform-website/,2024-09-09
Harris,climate change,supports,FRIENDLY,https://www.washingtonpost.com/politics/interactive/2024/kamala-harris-policy-positions/,2024-09-10
Harris,oil companies,accuses,HOSTILE,https://www.washingtonpost.com/politics/interactive/2024/kamala-harris-policy-positions/,2024-09-10
Joe Biden,Trump,opposes,NEUTRAL,https://www.washingtonpost.com/politics/2024/09/11/kamala-harris-debate-performance-polls/,2024-09-11
Hillary Clinton,Trump,opposes,NEUTRAL,https://www.washingtonpost.com/politics/2024/09/11/kamala-harris-debate-performance-polls/,2024-09-11
Mitt Romney,Barack Obama,opposes,NEUTRAL,https://www.washingtonpost.com/politics/2024/09/11/kamala-harris-debate-performance-polls/,2024-09-11
Bill Clinton,Bob Dole,opposes,NEUTRAL,https://www.washingtonpost.com/politics/2024/09/11/kamala-harris-debate-performance-polls/,2024-09-11
Harris,Trump,opposes,NEUTRAL,https://www.washingtonpost.com/politics/2024/09/11/kamala-harris-debate-performance-polls/,2024-09-11
Harris,Mike Pence,opposes,NEUTRAL,https://www.washingtonpost.com/politics/2024/09/11/kamala-harris-debate-performance-polls/,2024-09-11
Harris,Donald Trump,opposes,HOSTILE,https://www.washingtonpost.com/politics/interactive/2023/presidential-candidates-2024-policies-issues/kamala-harris-immigration/,2024-09-10
Harris,Biden,partners with,NEUTRAL,https://www.washingtonpost.com/politics/interactive/2023/presidential-candidates-2024-policies-issues/kamala-harris-immigration/,2024-09-10
Change Healthcare,UnitedHealth Group,partners with,NEUTRAL,https://www.washingtonpost.com/technology/2024/09/05/change-healthcare-letter-hack-data-breach/,2024-09-05
Andrew Witty,Congress,testified,NEUTRAL,https://www.washingtonpost.com/technology/2024/09/05/change-healthcare-letter-hack-data-breach/,2024-09-05
ITRC,Change Healthcare,criticizes,NEUTRAL,https://www.washingtonpost.com/technology/2024/09/05/change-healthcare-letter-hack-data-breach/,2024-09-05
James Lee,ITRC,leads,NEUTRAL,https://www.washingtonpost.com/technology/2024/09/05/change-healthcare-letter-hack-data-breach/,2024-09-05
Yuval Noah Harari,AI,criticizes,HOSTILE,https://www.washingtonpost.com/books/2024/09/11/nexus-yuval-noah-harari-review/,2024-09-11
Justin Smith-Ruiu,Yuval Noah Harari,criticizes,HOSTILE,https://www.washingtonpost.com/books/2024/09/11/nexus-yuval-noah-harari-review/,2024-09-11
Yuval Noah Harari,E.O. Wilson,partners with,NEUTRAL,https://www.washingtonpost.com/books/2024/09/11/nexus-yuval-noah-harari-review/,2024-09-11
Yuval Noah Harari,Jared Diamond,partners with,NEUTRAL,https://www.washingtonpost.com/books/2024/09/11/nexus-yuval-noah-harari-review/,2024-09-11
Yuval Noah Harari,Henry Miller,opposes,HOSTILE,https://www.washingtonpost.com/books/2024/09/11/nexus-yuval-noah-harari-review/,2024-09-11
Liane Moriarty,Here One Moment,leads,NEUTRAL,https://www.washingtonpost.com/books/2024/09/09/liane-moriarty-here-one-moment/,2024-09-09
Liane Moriarty,Big Little Lies,leads,NEUTRAL,https://www.washingtonpost.com/books/2024/09/09/liane-moriarty-here-one-moment/,2024-09-09
Liane Moriarty,Three Wishes,leads,NEUTRAL,https://www.washingtonpost.com/books/2024/09/09/liane-moriarty-here-one-moment/,2024-09-09
Liane Moriarty,The Last Anniversary,leads,NEUTRAL,https://www.washingtonpost.com/books/2024/09/09/liane-moriarty-here-one-moment/,2024-09-09
Liane Moriarty,Nine Perfect Strangers,leads,NEUTRAL,https://www.washingtonpost.com/books/2024/09/09/liane-moriarty-here-one-moment/,2024-09-09
Liane Moriarty,Apples Never Fall,leads,NEUTRAL,https://www.washingtonpost.com/books/2024/09/09/liane-moriarty-here-one-moment/,2024-09-09
Liane Moriarty,Stan Delaney,creates,NEUTRAL,https://www.washingtonpost.com/books/2024/09/09/liane-moriarty-here-one-moment/,2024-09-09
Liane Moriarty,Eve,creates,NEUTRAL,https://www.washingtonpost.com/books/2024/09/09/liane-moriarty-here-one-moment/,2024-09-09
Liane Moriarty,Dom,creates,NEUTRAL,https://www.washingtonpost.com/books/2024/09/09/liane-moriarty-here-one-moment/,2024-09-09
Harris,Roe v. Wade,supports,FRIENDLY,https://www.washingtonpost.com/politics/interactive/2023/presidential-candidates-2024-policies-issues/kamala-harris-abortion/,2024-09-10
Harris,a bill that would ban abortion after 20 weeks of pregnancy,opposes,HOSTILE,https://www.washingtonpost.com/politics/interactive/2023/presidential-candidates-2024-policies-issues/kamala-harris-abortion/,2024-09-10
Elizabeth Strout,Lucy Barton,partners with,NEUTRAL,https://www.washingtonpost.com/books/2024/09/10/elizabeth-strout-tell-me-everything-review/,2024-09-10
Elizabeth Strout,Olive Kitteridge,partners with,NEUTRAL,https://www.washingtonpost.com/books/2024/09/10/elizabeth-strout-tell-me-everything-review/,2024-09-10
Lucy Barton,William,partners with,NEUTRAL,https://www.washingtonpost.com/books/2024/09/10/elizabeth-strout-tell-me-everything-review/,2024-09-10
Bob Burgess,Margaret,partners with,NEUTRAL,https://www.washingtonpost.com/books/2024/09/10/elizabeth-strout-tell-me-everything-review/,2024-09-10
Bob Burgess,Lucy Barton,partners with,NEUTRAL,https://www.washingtonpost.com/books/2024/09/10/elizabeth-strout-tell-me-everything-review/,2024-09-10
Lucy Barton,Olive Kitteridge,partners with,NEUTRAL,https://www.washingtonpost.com/books/2024/09/10/elizabeth-strout-tell-me-everything-review/,2024-09-10
Bob Burgess,Matt Beach,opposes,NEUTRAL,https://www.washingtonpost.com/books/2024/09/10/elizabeth-strout-tell-me-everything-review/,2024-09-10
Waymo,Google,partners with,NEUTRAL,https://www.washingtonpost.com/technology/2024/09/12/waymo-vs-uber-lyft-cost-speed-robotaxi-rideshare/,2024-09-12
Waymo,Alphabet,partners with,NEUTRAL,https://www.washingtonpost.com/technology/2024/09/12/waymo-vs-uber-lyft-cost-speed-robotaxi-rideshare/,2024-09-12
Amazon,Zoox,partners with,NEUTRAL,https://www.washingtonpost.com/technology/2024/09/12/waymo-vs-uber-lyft-cost-speed-robotaxi-rideshare/,2024-09-12
Elon Musk,Tesla,leads,NEUTRAL,https://www.washingtonpost.com/technology/2024/09/12/waymo-vs-uber-lyft-cost-speed-robotaxi-rideshare/,2024-09-12
Jeff Bezos,The Washington Post,supports,NEUTRAL,https://www.washingtonpost.com/technology/2024/09/12/waymo-vs-uber-lyft-cost-speed-robotaxi-rideshare/,2024-09-12
Lyft,Uber,partners with,NEUTRAL,https://www.washingtonpost.com/technology/2024/09/12/waymo-vs-uber-lyft-cost-speed-robotaxi-rideshare/,2024-09-12
Ukraine,Russia,opposes,NEUTRAL,https://www.cnn.com/2024/09/07/europe/ukraine-thermite-dragon-drones-intl-hnk-ml/index.html,2024-09-07
Nicholas Drummond,CNN,partners with,NEUTRAL,https://www.cnn.com/2024/09/07/europe/ukraine-thermite-dragon-drones-intl-hnk-ml/index.html,2024-09-07
Vladimir Putin,Ukraine,opposes,HOSTILE,https://www.cnn.com/2024/09/07/europe/ukraine-thermite-dragon-drones-intl-hnk-ml/index.html,2024-09-07
Ukraine,Russia,accuses,HOSTILE,https://www.cnn.com/2024/09/07/europe/ukraine-thermite-dragon-drones-intl-hnk-ml/index.html,2024-09-07
Kamala Harris,Donald Trump,criticizes,HOSTILE,https://www.cnn.com/2024/09/10/politics/debate-takeaways-trump-harris/index.html,2024-09-10
Donald Trump,Kamala Harris,criticizes,HOSTILE,https://www.cnn.com/2024/09/10/politics/debate-takeaways-trump-harris/index.html,2024-09-10
Donald Trump,Joe Biden,opposes,HOSTILE,https://www.cnn.com/2024/09/10/politics/debate-takeaways-trump-harris/index.html,2024-09-10
Taylor Swift,Democratic ticket,supports,FRIENDLY,https://www.cnn.com/2024/09/10/politics/debate-takeaways-trump-harris/index.html,2024-09-10
Kamala Harris,Donald Trump,opposes,HOSTILE,https://www.cnn.com/2024/09/10/politics/debate-takeaways-trump-harris/index.html,2024-09-10
Donald Trump,Joe Biden,criticizes,HOSTILE,https://www.cnn.com/2024/09/10/politics/debate-takeaways-trump-harris/index.html,2024-09-10
Kamala Harris,Joe Biden,supports,FRIENDLY,https://www.cnn.com/2024/09/10/politics/debate-takeaways-trump-harris/index.html,2024-09-10
Donald Trump,Benjamin Netanyahu,criticizes,HOSTILE,https://www.cnn.com/2024/09/10/politics/debate-takeaways-trump-harris/index.html,2024-09-10
Kamala Harris,Israel,supports,NEUTRAL,https://www.cnn.com/2024/09/10/politics/debate-takeaways-trump-harris/index.html,2024-09-10
Donald Trump,Putin,supports,FRIENDLY,https://www.cnn.com/2024/09/10/politics/debate-takeaways-trump-harris/index.html,2024-09-10
Donald Trump,Kamala Harris,accuses,HOSTILE,https://www.cnn.com/2024/09/10/politics/debate-takeaways-trump-harris/index.html,2024-09-10
Kamala Harris,Poland,supports,NEUTRAL,https://www.cnn.com/2024/09/10/politics/debate-takeaways-trump-harris/index.html,2024-09-10
Robert F. Kennedy Jr.,Donald Trump,endorses,NEUTRAL,https://www.cnn.com/2024/09/10/politics/debate-takeaways-trump-harris/index.html,2024-09-10
NASA,Steve Stich,represents,NEUTRAL,https://www.cnn.com/science/live-news/nasa-boeing-starliner-capsule-09-06-24/index.html,2024-09-06
Donald Trump,Joe Biden,criticizes,HOSTILE,https://www.cnn.com/2024/09/07/politics/trump-modify-25th-amendment-harris-biden/index.html,2024-09-07
Donald Trump,Kamala Harris,criticizes,HOSTILE,https://www.cnn.com/2024/09/07/politics/trump-modify-25th-amendment-harris-biden/index.html,2024-09-07
Kamala Harris,Joe Biden,defends,FRIENDLY,https://www.cnn.com/2024/09/07/politics/trump-modify-25th-amendment-harris-biden/index.html,2024-09-07
Donald Trump,Joe Biden,opposes,HOSTILE,https://www.cnn.com/2024/09/07/politics/trump-modify-25th-amendment-harris-biden/index.html,2024-09-07
Donald Trump,25th Amendment,criticizes,HOSTILE,https://www.cnn.com/2024/09/07/politics/trump-modify-25th-amendment-harris-biden/index.html,2024-09-07
Joe Biden,Democratic Party,represents,NEUTRAL,https://www.cnn.com/2024/09/07/politics/trump-modify-25th-amendment-harris-biden/index.html,2024-09-07
Donald Trump,Elon Musk,supports,FRIENDLY,https://www.cnn.com/2024/09/05/politics/trump-economic-plans-musk-government-commission/index.html,2024-09-05
Elon Musk,Donald Trump,endorses,FRIENDLY,https://www.cnn.com/2024/09/05/politics/trump-economic-plans-musk-government-commission/index.html,2024-09-05
Donald Trump,Kamala Harris,criticizes,HOSTILE,https://www.cnn.com/2024/09/05/politics/trump-economic-plans-musk-government-commission/index.html,2024-09-05
Kamala Harris,Joe Biden,partners with,NEUTRAL,https://www.cnn.com/2024/09/05/politics/trump-economic-plans-musk-government-commission/index.html,2024-09-05
Joe Biden,Kamala Harris,endorses,NEUTRAL,https://www.cnn.com/2024/09/05/politics/trump-economic-plans-musk-government-commission/index.html,2024-09-05
Donald Trump,Joe Biden,criticizes,HOSTILE,https://www.cnn.com/2024/09/05/politics/trump-economic-plans-musk-government-commission/index.html,2024-09-05
Brian Nelson,Donald Trump,accuses,HOSTILE,https://www.cnn.com/2024/09/05/politics/trump-economic-plans-musk-government-commission/index.html,2024-09-05
Brian Hughes,Kamala Harris,criticizes,HOSTILE,https://www.cnn.com/2024/09/05/politics/trump-economic-plans-musk-government-commission/index.html,2024-09-05
Republicans,Internal Revenue Service,criticizes,HOSTILE,https://www.cnn.com/2024/09/05/politics/trump-economic-plans-musk-government-commission/index.html,2024-09-05
US Centers for Disease Control and Prevention,United States,represents,NEUTRAL,https://www.cnn.com/2024/09/05/health/covid-vaccine-cost-pharmacies/index.html,2024-09-05
Lori Freeman,National Association of County and City Health Officials,leads,NEUTRAL,https://www.cnn.com/2024/09/05/health/covid-vaccine-cost-pharmacies/index.html,2024-09-05
Amy Thibault,CVS Pharmacy,represents,NEUTRAL,https://www.cnn.com/2024/09/05/health/covid-vaccine-cost-pharmacies/index.html,2024-09-05
Samantha Stansberry,Walgreens,represents,NEUTRAL,https://www.cnn.com/2024/09/05/health/covid-vaccine-cost-pharmacies/index.html,2024-09-05
Georges Benjamin,American Public Health Association,leads,NEUTRAL,https://www.cnn.com/2024/09/05/health/covid-vaccine-cost-pharmacies/index.html,2024-09-05
Boeing,Starliner,leads,NEUTRAL,https://www.cnn.com/2024/09/06/science/boeing-starliner-return-without-astronauts/index.html,2024-09-06
NASA,Boeing,partners with,NEUTRAL,https://www.cnn.com/2024/09/06/science/boeing-starliner-return-without-astronauts/index.html,2024-09-06
Suni Williams,Starliner,supports,FRIENDLY,https://www.cnn.com/2024/09/06/science/boeing-starliner-return-without-astronauts/index.html,2024-09-06
Butch Wilmore,Starliner,supports,FRIENDLY,https://www.cnn.com/2024/09/06/science/boeing-starliner-return-without-astronauts/index.html,2024-09-06
Boeing,NASA,criticizes,HOSTILE,https://www.cnn.com/2024/09/06/science/boeing-starliner-return-without-astronauts/index.html,2024-09-06
NASA,Boeing,criticizes,HOSTILE,https://www.cnn.com/2024/09/06/science/boeing-starliner-return-without-astronauts/index.html,2024-09-06
NASA,Steve Stich,leads,NEUTRAL,https://www.cnn.com/2024/09/06/science/boeing-starliner-return-without-astronauts/index.html,2024-09-06
Boeing,Mark Nappi,leads,NEUTRAL,https://www.cnn.com/2024/09/06/science/boeing-starliner-return-without-astronauts/index.html,2024-09-06
NASA,Ken Bowersox,leads,NEUTRAL,https://www.cnn.com/2024/09/06/science/boeing-starliner-return-without-astronauts/index.html,2024-09-06
Donald Trump,Kamala Harris,opposes,HOSTILE,https://www.cnn.com/2024/09/10/politics/fact-check-debate-trump-harris/index.html,2024-09-10
Donald Trump,Joe Biden,criticizes,HOSTILE,https://www.cnn.com/2024/09/10/politics/fact-check-debate-trump-harris/index.html,2024-09-10
Kamala Harris,Donald Trump,criticizes,HOSTILE,https://www.cnn.com/2024/09/10/politics/fact-check-debate-trump-harris/index.html,2024-09-10
Donald Trump,Joe Biden,accuses,HOSTILE,https://www.cnn.com/2024/09/10/politics/fact-check-debate-trump-harris/index.html,2024-09-10
Donald Trump,China,accuses,HOSTILE,https://www.cnn.com/2024/09/10/politics/fact-check-debate-trump-harris/index.html,2024-09-10
Donald Trump,Nancy Pelosi,accuses,HOSTILE,https://www.cnn.com/2024/09/10/politics/fact-check-debate-trump-harris/index.html,2024-09-10
Donald Trump,Kamala Harris,accuses,HOSTILE,https://www.cnn.com/2024/09/10/politics/fact-check-debate-trump-harris/index.html,2024-09-10
Donald Trump,Vladimir Putin,criticizes,HOSTILE,https://www.cnn.com/2024/09/10/politics/fact-check-debate-trump-harris/index.html,2024-09-10
Joe Biden,Kamala Harris,partners with,NEUTRAL,https://www.cnn.com/2024/09/10/politics/fact-check-debate-trump-harris/index.html,2024-09-10
Donald Trump,Biden,accuses,HOSTILE,https://www.cnn.com/2024/09/10/politics/fact-check-debate-trump-harris/index.html,2024-09-10
Kamala Harris,Joe Biden,supports,NEUTRAL,https://www.cnn.com/2024/09/10/politics/fact-check-debate-trump-harris/index.html,2024-09-10
Donald Trump,Tim Walz,criticizes,HOSTILE,https://www.cnn.com/2024/09/10/politics/fact-check-debate-trump-harris/index.html,2024-09-10
Kamala Harris,Donald Trump,opposes,NEUTRAL,https://www.cnn.com/2024/09/08/politics/kamala-harris-donald-trump-debate/index.html,2024-09-08
Kamala Harris,Democratic Party,represents,NEUTRAL,https://www.cnn.com/2024/09/08/politics/kamala-harris-donald-trump-debate/index.html,2024-09-08
Donald Trump,Biden,opposes,NEUTRAL,https://www.cnn.com/2024/09/08/politics/kamala-harris-donald-trump-debate/index.html,2024-09-08
Kamala Harris,Biden administration,represents,NEUTRAL,https://www.cnn.com/2024/09/08/politics/kamala-harris-donald-trump-debate/index.html,2024-09-08
Donald Trump,Kamala Harris,accuses,HOSTILE,https://www.cnn.com/2024/09/08/politics/kamala-harris-donald-trump-debate/index.html,2024-09-08
Trump campaign,Kamala Harris,accuses,HOSTILE,https://www.cnn.com/2024/09/08/politics/kamala-harris-donald-trump-debate/index.html,2024-09-08
Donald Trump,Hillary Clinton,criticizes,HOSTILE,https://www.cnn.com/2024/09/08/politics/kamala-harris-donald-trump-debate/index.html,2024-09-08
Tulsi Gabbard,Donald Trump,supports,FRIENDLY,https://www.cnn.com/2024/09/08/politics/kamala-harris-donald-trump-debate/index.html,2024-09-08
Kamala Harris,Mike Pence,opposes,NEUTRAL,https://www.cnn.com/2024/09/08/politics/kamala-harris-donald-trump-debate/index.html,2024-09-08
Donald Trump,Gabbard,partners with,NEUTRAL,https://www.cnn.com/2024/09/08/politics/kamala-harris-donald-trump-debate/index.html,2024-09-08
Donald Trump,Kamala Harris,opposes,HOSTILE,https://www.cnn.com/2024/09/11/politics/harris-trump-debate-analysis/index.html,2024-09-11
Kamala Harris,Donald Trump,criticizes,HOSTILE,https://www.cnn.com/2024/09/11/politics/harris-trump-debate-analysis/index.html,2024-09-11
Donald Trump,President Joe Biden,opposes,HOSTILE,https://www.cnn.com/2024/09/11/politics/harris-trump-debate-analysis/index.html,2024-09-11
Kamala Harris,Donald Trump,accuses,HOSTILE,https://www.cnn.com/2024/09/11/politics/harris-trump-debate-analysis/index.html,2024-09-11
Donald Trump,President Joe Biden,opposes,HOSTILE,https://www.cnn.com/2024/09/11/politics/harris-trump-debate-analysis/index.html,2024-09-11
Taylor Swift,Kamala Harris,endorses,FRIENDLY,https://www.cnn.com/2024/09/11/politics/harris-trump-debate-analysis/index.html,2024-09-11
Taylor Swift,Tim Walz,endorses,FRIENDLY,https://www.cnn.com/2024/09/11/politics/harris-trump-debate-analysis/index.html,2024-09-11
Anthony Scaramucci,Kamala Harris,supports,FRIENDLY,https://www.cnn.com/2024/09/11/politics/harris-trump-debate-analysis/index.html,2024-09-11
Olivia Troye,Kamala Harris,supports,FRIENDLY,https://www.cnn.com/2024/09/11/politics/harris-trump-debate-analysis/index.html,2024-09-11
Kamala Harris,Donald Trump,opposes,HOSTILE,https://www.cnn.com/2024/09/11/politics/harris-trump-debate-analysis/index.html,2024-09-11
